second,kW
0,1.6
1,1.6048
2,1.6094
3,1.6143
4,1.6198
5,1.6256
6,1.6312
7,1.6362
8,1.6404
9,1.6436
10,1.645
11,1.6451
12,1.6467
13,1.6522
14,1.6621
15,1.6738
16,1.6843
17,1.6923
18,1.6975
19,1.6999
20,1.6999
21,1.6982
22,1.6956
23,1.6934
24,1.6934
25,1.6974
26,1.7056
27,1.7156
28,1.7239
29,1.7283
30,1.7305
31,1.7344
32,1.7418
33,1.7507
34,1.7571
35,1.76
36,1.7619
37,1.7665
38,1.7748
39,1.7838
40,1.7894
41,1.7903
42,1.7883
43,1.7869
44,1.788
45,1.7924
46,1.8
47,1.8104
48,1.8215
49,1.8302
50,1.834
51,1.8336
52,1.833
53,1.8364
54,1.8448
55,1.8546
56,1.8603
57,1.8603
58,1.8583
59,1.8608
60,1.8709
61,1.8862
62,1.9012
63,1.9111
64,1.9147
65,1.9137
66,1.9121
67,1.9142
68,1.9215
69,1.9319
70,1.9415
71,1.9476
72,1.951
73,1.954
74,1.958
75,1.963
76,1.9675
77,1.9699
78,1.9701
79,1.9699
80,1.9724
81,1.9801
82,1.9921
83,2.0047
84,2.0142
85,2.0203
86,2.0261
87,2.0335
88,2.0413
89,2.0465
90,2.0482
91,2.0493
92,2.0535
93,2.0615
94,2.0707
95,2.0778
96,2.0809
97,2.0801
98,2.0765
99,2.0726
100,2.072
101,2.0773
102,2.0882
103,2.1015
104,2.1126
105,2.119
106,2.12
107,2.1176
108,2.1151
109,2.1166
110,2.1241
111,2.1355
112,2.1454
113,2.1497
114,2.1484
115,2.1459
116,2.146
117,2.1496
118,2.155
119,2.1609
120,2.1677
121,2.1752
122,2.1822
123,2.187
124,2.1896
125,2.1915
126,2.1942
127,2.1988
128,2.2054
129,2.2139
130,2.2234
131,2.2324
132,2.2398
133,2.2452
134,2.2493
135,2.2529
136,2.257
137,2.2626
138,2.27
139,2.2784
140,2.2861
141,2.2913
142,2.2926
143,2.2905
144,2.2877
145,2.2877
146,2.2912
147,2.2961
148,2.2996
149,2.302
150,2.3064
151,2.3154
152,2.3288
153,2.3429
154,2.3535
155,2.3585
156,2.3588
157,2.3569
158,2.3551
159,2.3552
160,2.3581
161,2.3635
162,2.3699
163,2.376
164,2.3817
165,2.3876
166,2.3942
167,2.4011
168,2.4082
169,2.4152
170,2.4207
171,2.4225
172,2.419
173,2.4111
174,2.4036
175,2.4023
176,2.4093
177,2.4209
178,2.4305
179,2.4348
180,2.4367
181,2.4411
182,2.4495
183,2.4584
184,2.4636
185,2.4654
186,2.4692
187,2.4801
188,2.4968
189,2.5122
190,2.5196
191,2.5186
192,2.5146
193,2.5137
194,2.5176
195,2.5237
196,2.529
197,2.5325
198,2.5355
199,2.5389
200,2.5426
201,2.5456
202,2.5471
203,2.5474
204,2.5479
205,2.5508
206,2.5572
207,2.5656
208,2.5732
209,2.5775
210,2.5785
211,2.5785
212,2.5805
213,2.587
214,2.5986
215,2.6138
216,2.6293
217,2.6414
218,2.649
219,2.6538
220,2.6577
221,2.6616
222,2.6645
223,2.6661
224,2.6671
225,2.6693
226,2.6738
227,2.6803
228,2.687
229,2.6918
230,2.6939
231,2.6945
232,2.6963
233,2.7013
234,2.7092
235,2.7172
236,2.7213
237,2.7198
238,2.7146
239,2.7104
240,2.7112
241,2.7169
242,2.7246
243,2.7322
244,2.7393
245,2.7457
246,2.7492
247,2.7478
248,2.7433
249,2.7407
250,2.7443
251,2.7538
252,2.7654
253,2.7753
254,2.7827
255,2.7889
256,2.7955
257,2.8042
258,2.8166
259,2.8328
260,2.8499
261,2.8625
262,2.8659
263,2.8598
264,2.8492
265,2.8414
266,2.8416
267,2.8486
268,2.8555
269,2.8551
270,2.8471
271,2.8378
272,2.8345
273,2.8394
274,2.849
275,2.8582
276,2.864
277,2.8669
278,2.8693
279,2.8737
280,2.8803
281,2.8876
282,2.8941
283,2.8998
284,2.9054
285,2.9106
286,2.9154
287,2.9212
288,2.9306
289,2.9435
290,2.9551
291,2.9609
292,2.961
293,2.9612
294,2.9664
295,2.9762
296,2.9863
297,2.9943
298,3.0017
299,3.0113
300,3.0228
301,3.0319
