second,kW
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0015
60,0.0025
61,0.0028
62,0.003
63,0.0034
64,0.0031
65,0.0013
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0013
92,0.0019
93,0.0014
94,0.0002
95,0.0
96,0.0
97,0.0
98,0.001
99,0.0023
100,0.0029
101,0.0027
102,0.002
103,0.0013
104,0.0012
105,0.0019
106,0.0031
107,0.0038
108,0.0028
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0004
116,0.0017
117,0.0023
118,0.0019
119,0.0006
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0005
125,0.0002
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0003
136,0.0018
137,0.0037
138,0.004
139,0.0017
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0004
145,0.0022
146,0.0026
147,0.0023
148,0.0024
149,0.0026
150,0.0023
151,0.0011
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0013
164,0.0057
165,0.0088
166,0.0093
167,0.0076
168,0.005
169,0.003
170,0.0022
171,0.0027
172,0.0043
173,0.0069
174,0.01
175,0.0124
176,0.0132
177,0.0126
178,0.0115
179,0.011
180,0.0116
181,0.0128
182,0.0131
183,0.0112
184,0.007
185,0.0021
186,0.0
187,0.0
188,0.0
189,0.001
190,0.0017
191,0.0009
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0008
201,0.0015
202,0.0004
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.001
233,0.0029
234,0.0036
235,0.0027
236,0.0007
237,0.0
238,0.0
239,0.0012
240,0.0049
241,0.0082
242,0.0098
243,0.0094
244,0.008
245,0.0064
246,0.005
247,0.0032
248,0.0008
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0025
254,0.0052
255,0.0066
256,0.0065
257,0.005
258,0.0031
259,0.0013
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0034
266,0.0087
267,0.0135
268,0.0162
269,0.0161
270,0.0132
271,0.0087
272,0.0042
273,0.0015
274,0.0015
275,0.0032
276,0.0051
277,0.0059
278,0.0056
279,0.0049
280,0.0044
281,0.0046
282,0.0059
283,0.0087
284,0.0124
285,0.0158
286,0.0175
287,0.0172
288,0.0155
289,0.0136
290,0.0126
291,0.0122
292,0.0113
293,0.0089
294,0.0051
295,0.0017
296,0.0001
297,0.0003
298,0.0014
299,0.0023
300,0.0024
301,0.0018
302,0.0003
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0012
353,0.0007
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0002
371,0.0026
372,0.0057
373,0.0089
374,0.0114
375,0.0126
376,0.0129
377,0.0131
378,0.0144
379,0.0167
380,0.019
381,0.0196
382,0.018
383,0.0149
384,0.0118
385,0.01
386,0.01
387,0.0107
388,0.0108
389,0.0094
390,0.0066
391,0.0033
392,0.0005
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0008
409,0.0026
410,0.0038
411,0.0039
412,0.0027
413,0.0011
414,0.0
415,0.0
416,0.0006
417,0.0021
418,0.0031
419,0.0034
420,0.003
421,0.0023
422,0.0014
423,0.0003
424,0.0
425,0.0
426,0.0
427,0.0009
428,0.0039
429,0.0066
430,0.0079
431,0.0079
432,0.007
433,0.0057
434,0.004
435,0.0019
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.001
455,0.0048
456,0.0067
457,0.0055
458,0.0032
459,0.0024
460,0.0042
461,0.0066
462,0.0073
463,0.0054
464,0.0023
465,0.0002
466,0.0
467,0.0006
468,0.0012
469,0.0014
470,0.0018
471,0.0032
472,0.005
473,0.0057
474,0.0047
475,0.0032
476,0.0029
477,0.0042
478,0.0056
479,0.0059
480,0.0054
481,0.0056
482,0.0066
483,0.0072
484,0.0063
485,0.0045
486,0.0032
487,0.0029
488,0.0027
489,0.0022
490,0.0017
491,0.0019
492,0.0023
493,0.0014
494,0.0
495,0.0
496,0.0
497,0.0004
498,0.0033
499,0.0046
500,0.0037
501,0.0013
502,0.0
503,0.0
504,0.0
505,0.0028
506,0.0061
507,0.0085
508,0.0088
509,0.007
510,0.004
511,0.0013
512,0.0
513,0.0004
514,0.0021
515,0.0044
516,0.0067
517,0.0084
518,0.0093
519,0.0094
520,0.0086
521,0.0065
522,0.0037
523,0.0014
524,0.0008
525,0.0023
526,0.0047
527,0.0067
528,0.0069
529,0.0054
530,0.0036
531,0.0033
532,0.0049
533,0.0068
