second,kW
0,5.115
1,5.1156
2,5.1163
3,5.1162
4,5.1151
5,5.1146
6,5.117
7,5.1224
8,5.1295
9,5.1375
10,5.1452
11,5.1492
12,5.1476
13,5.1449
14,5.1504
15,5.1666
16,5.1847
17,5.1943
18,5.1938
19,5.1902
20,5.1888
21,5.1875
22,5.1828
23,5.1771
24,5.1771
25,5.185
26,5.1956
27,5.202
28,5.2019
29,5.1981
30,5.1939
31,5.19
32,5.1854
33,5.1795
34,5.1734
35,5.1681
36,5.1643
37,5.1631
38,5.1655
39,5.1708
40,5.176
41,5.1778
42,5.1761
43,5.174
44,5.1735
45,5.1715
46,5.1626
47,5.1446
48,5.123
49,5.1088
50,5.1106
51,5.1283
52,5.1521
53,5.1707
54,5.1787
55,5.1791
56,5.1769
57,5.1728
58,5.1639
59,5.1509
60,5.1407
61,5.1413
62,5.1531
63,5.1681
64,5.1771
65,5.1762
66,5.1675
67,5.1562
68,5.148
69,5.1469
70,5.1536
71,5.1641
72,5.1719
73,5.1728
74,5.167
75,5.1591
76,5.1535
77,5.1516
78,5.1518
79,5.1518
80,5.1502
81,5.1457
82,5.1365
83,5.1215
84,5.1029
85,5.088
86,5.0845
87,5.094
88,5.1088
89,5.1186
90,5.1191
91,5.1162
92,5.1202
93,5.136
94,5.1578
95,5.1734
96,5.1745
97,5.1632
98,5.1479
99,5.1354
100,5.127
101,5.1225
102,5.1243
103,5.1348
104,5.1491
105,5.1557
106,5.1458
107,5.1237
108,5.1044
109,5.1
110,5.1103
111,5.1254
112,5.135
113,5.1351
114,5.1269
115,5.1129
116,5.0952
117,5.0765
118,5.0628
119,5.0619
120,5.0758
121,5.0975
122,5.1146
123,5.1199
124,5.1173
125,5.1171
126,5.1257
127,5.1388
128,5.1463
129,5.1421
130,5.1308
131,5.1234
132,5.1268
133,5.1359
134,5.1393
135,5.1321
136,5.123
137,5.125
138,5.1401
139,5.1567
140,5.1625
141,5.1555
142,5.1426
143,5.1307
144,5.1232
145,5.121
146,5.1241
147,5.1302
148,5.1356
149,5.1379
150,5.1381
151,5.1403
152,5.148
153,5.1598
154,5.1694
155,5.1703
156,5.1622
157,5.1517
158,5.1478
159,5.1557
160,5.1746
161,5.1981
162,5.2178
163,5.2283
164,5.2307
165,5.2316
166,5.2362
167,5.2439
168,5.251
169,5.2558
170,5.2605
171,5.2679
172,5.2776
173,5.2863
174,5.2908
175,5.2911
176,5.2895
177,5.2897
178,5.2944
179,5.3034
180,5.3113
181,5.3096
182,5.2931
183,5.266
184,5.2397
185,5.2234
186,5.2186
187,5.2212
188,5.2268
189,5.2334
190,5.2405
191,5.2476
192,5.2536
193,5.2568
194,5.2562
195,5.2513
196,5.2414
197,5.2265
198,5.2079
199,5.1901
200,5.18
201,5.1835
202,5.2011
203,5.2261
204,5.2477
205,5.2567
206,5.2508
207,5.2335
208,5.2122
209,5.1943
210,5.1844
211,5.184
212,5.1911
213,5.2015
214,5.2099
215,5.2119
216,5.2072
217,5.1998
218,5.1958
219,5.1983
220,5.2052
221,5.2108
222,5.2112
223,5.2069
224,5.2023
225,5.2008
226,5.2043
227,5.2135
228,5.2289
229,5.248
230,5.2642
231,5.2713
232,5.2705
233,5.2686
234,5.2698
235,5.2702
236,5.2618
237,5.2426
238,5.2204
239,5.2066
240,5.2059
241,5.2136
242,5.2223
243,5.2298
244,5.2392
245,5.254
246,5.2723
247,5.2881
248,5.2968
249,5.2983
250,5.2962
251,5.2935
252,5.2903
253,5.2842
254,5.2723
255,5.2548
256,5.2361
257,5.223
258,5.2197
259,5.2237
260,5.2274
261,5.2252
262,5.22
263,5.2207
264,5.2319
265,5.2477
266,5.2571
267,5.2535
268,5.2404
269,5.2265
270,5.2198
271,5.2224
272,5.2313
273,5.2403
274,5.2451
275,5.2456
276,5.2432
277,5.2378
278,5.2292
279,5.2199
280,5.2157
281,5.2204
282,5.232
283,5.2441
284,5.2511
285,5.252
286,5.2488
287,5.2425
288,5.2327
289,5.2196
290,5.208
291,5.2052
292,5.2148
293,5.2324
294,5.2496
295,5.2612
296,5.2675
297,5.2697
298,5.2671
299,5.2599
300,5.252
301,5.2474
302,5.2452
303,5.2404
304,5.2304
305,5.22
306,5.2169
307,5.223
308,5.2313
309,5.2325
310,5.2243
311,5.2125
312,5.2054
313,5.2061
314,5.21
315,5.2096
316,5.2017
317,5.1917
318,5.1911
319,5.2092
320,5.2446
321,5.2846
322,5.3141
323,5.3255
324,5.3222
325,5.3115
326,5.2974
327,5.2812
328,5.266
329,5.2553
330,5.2497
331,5.2466
332,5.2441
333,5.242
334,5.2398
335,5.2368
336,5.2349
337,5.2365
338,5.2398
339,5.239
340,5.2305
341,5.2184
342,5.2099
343,5.2086
344,5.2125
345,5.218
346,5.2246
347,5.2359
348,5.256
349,5.2834
350,5.3089
351,5.3208
352,5.314
353,5.2935
354,5.2709
355,5.2564
356,5.2536
357,5.2587
358,5.2642
359,5.2647
360,5.2608
361,5.257
362,5.2567
363,5.2587
364,5.2591
365,5.2561
366,5.2531
367,5.2552
368,5.2626
369,5.2686
370,5.2666
371,5.2578
372,5.2509
373,5.2537
374,5.2656
375,5.2779
376,5.2813
377,5.2736
378,5.2605
379,5.2503
380,5.2455
381,5.2428
382,5.2397
383,5.2387
384,5.2431
385,5.2508
386,5.2556
387,5.2541
388,5.2507
389,5.2542
390,5.2698
391,5.2924
392,5.3096
393,5.3113
394,5.2983
395,5.2814
396,5.2711
397,5.2689
398,5.2694
399,5.27
400,5.274
401,5.283
402,5.2905
403,5.2879
404,5.2767
405,5.2704
406,5.2814
407,5.3063
408,5.327
409,5.3278
410,5.3101
411,5.2896
412,5.2799
413,5.2802
414,5.2817
415,5.2809
416,5.2842
417,5.297
418,5.3146
419,5.3259
420,5.3248
421,5.3149
422,5.3047
423,5.2997
424,5.2995
425,5.2992
426,5.2954
427,5.2907
428,5.2921
429,5.3041
430,5.3225
431,5.338
432,5.3447
433,5.3449
434,5.3458
435,5.352
436,5.3622
437,5.3704
438,5.3715
439,5.3657
440,5.3579
441,5.3519
442,5.3463
443,5.3366
444,5.3204
445,5.3001
446,5.2821
447,5.2725
448,5.2733
449,5.2808
450,5.2869
451,5.2847
452,5.2745
453,5.2628
454,5.2561
455,5.2545
456,5.253
457,5.2476
458,5.2404
459,5.2371
460,5.2412
461,5.251
462,5.2604
463,5.263
464,5.256
465,5.2419
466,5.227
467,5.2173
468,5.214
469,5.2138
470,5.213
471,5.2127
472,5.2181
473,5.2328
474,5.2532
475,5.2713
476,5.2827
477,5.2902
478,5.299
479,5.3092
480,5.3149
481,5.3114
482,5.3008
483,5.2911
484,5.2904
485,5.3003
486,5.3154
487,5.3279
488,5.3318
489,5.3261
490,5.3156
491,5.3091
492,5.3135
493,5.3275
494,5.3422
495,5.3503
496,5.3529
497,5.3562
498,5.3621
499,5.3655
500,5.3609
501,5.3502
502,5.3411
503,5.339
504,5.342
505,5.343
506,5.3382
507,5.3307
508,5.3264
509,5.3261
510,5.3264
511,5.3264
512,5.3303
513,5.3421
514,5.3598
515,5.3774
516,5.389
517,5.3907
518,5.3803
519,5.3598
520,5.3365
521,5.3205
522,5.3176
523,5.3255
524,5.3343
525,5.3345
526,5.3248
527,5.3118
528,5.3026
529,5.2981
530,5.2945
531,5.2892
532,5.2836
533,5.2807
534,5.2817
535,5.2853
536,5.2894
537,5.293
538,5.296
539,5.2965
540,5.2903
541,5.2746
542,5.254
543,5.2412
544,5.2473
545,5.2714
546,5.3004
547,5.319
548,5.3208
549,5.3102
550,5.2972
551,5.2918
552,5.2995
553,5.3195
554,5.3447
555,5.3655
556,5.3736
557,5.3671
558,5.3519
559,5.338
560,5.331
561,5.3287
562,5.3245
563,5.3155
564,5.3044
565,5.2957
566,5.2926
567,5.2959
568,5.3043
569,5.3146
570,5.3223
571,5.3248
572,5.3224
573,5.3182
574,5.3159
575,5.3188
576,5.3272
577,5.3353
578,5.3324
579,5.3121
580,5.2802
581,5.2526
582,5.2427
583,5.2513
584,5.2675
585,5.2771
586,5.2712
587,5.2509
588,5.2254
589,5.2066
590,5.2025
591,5.2134
592,5.2329
593,5.2515
594,5.262
595,5.264
596,5.2635
597,5.2656
598,5.269
599,5.2683
600,5.2611
601,5.2524
602,5.2484
603,5.2499
604,5.2509
605,5.2448
606,5.2318
607,5.2193
608,5.2163
609,5.2275
610,5.251
611,5.2794
612,5.3034
613,5.316
614,5.3173
615,5.3146
616,5.3155
617,5.3209
618,5.3261
619,5.3268
620,5.3244
621,5.3229
622,5.323
623,5.3214
624,5.3158
625,5.3094
626,5.3064
627,5.3064
628,5.3039
629,5.2958
630,5.2846
631,5.2753
632,5.2705
633,5.2707
634,5.2764
635,5.2886
636,5.3046
637,5.3177
638,5.3213
639,5.3143
640,5.3009
641,5.287
642,5.2772
643,5.2732
644,5.2755
645,5.2843
646,5.2992
647,5.3173
648,5.331
649,5.3328
650,5.3219
651,5.3042
652,5.2863
653,5.2694
654,5.2519
655,5.2344
656,5.2206
657,5.2146
658,5.217
659,5.2247
660,5.234
661,5.2426
662,5.2498
663,5.2527
664,5.2459
665,5.2266
666,5.2008
667,5.1816
668,5.1782
669,5.1885
670,5.2012
671,5.2075
672,5.2079
673,5.2117
674,5.2265
675,5.2499
676,5.2706
677,5.2799
678,5.2788
679,5.2742
680,5.27
681,5.2637
682,5.2528
683,5.2399
684,5.2321
685,5.2341
686,5.2425
687,5.2477
688,5.2417
689,5.2265
690,5.2125
691,5.208
692,5.2111
693,5.2127
694,5.2076
695,5.1999
696,5.1979
697,5.2054
698,5.2176
699,5.2258
700,5.2248
701,5.2167
702,5.2085
703,5.2067
704,5.2145
705,5.2294
706,5.2444
707,5.2523
708,5.2516
709,5.2484
710,5.2509
711,5.2608
712,5.2712
713,5.2739
714,5.2674
715,5.2575
716,5.2519
717,5.2539
718,5.2613
719,5.2682
720,5.269
721,5.2624
722,5.2517
723,5.2411
724,5.2329
725,5.2271
726,5.2243
727,5.2264
728,5.2346
729,5.2478
730,5.2619
731,5.271
732,5.2707
733,5.2615
734,5.2499
735,5.2447
736,5.2489
737,5.2574
738,5.2625
739,5.2611
740,5.2565
741,5.2521
742,5.2475
743,5.2406
744,5.2317
745,5.2247
746,5.2236
747,5.2285
748,5.235
749,5.2385
750,5.2394
751,5.2449
752,5.262
753,5.2897
754,5.3159
755,5.3264
756,5.3175
757,5.298
758,5.2805
759,5.2707
760,5.266
761,5.2618
762,5.2567
763,5.2526
764,5.2514
765,5.2539
766,5.2598
767,5.2681
768,5.276
769,5.2795
770,5.2766
771,5.2695
772,5.2642
773,5.2649
774,5.2704
775,5.2759
776,5.2789
777,5.2813
778,5.2865
779,5.2926
780,5.2947
781,5.2912
782,5.287
783,5.2877
784,5.2928
785,5.2971
786,5.297
787,5.2944
788,5.2954
789,5.3035
790,5.3171
791,5.3311
792,5.3417
793,5.3485
794,5.3526
795,5.353
796,5.3459
797,5.328
798,5.3012
799,5.2748
800,5.2601
801,5.2628
802,5.2783
803,5.2958
804,5.3065
805,5.3093
806,5.3091
807,5.311
808,5.3161
809,5.3222
810,5.3261
811,5.3259
812,5.3211
813,5.312
814,5.2989
815,5.2833
816,5.27
817,5.2647
818,5.2682
819,5.2745
820,5.2774
821,5.2772
822,5.2798
823,5.2891
824,5.3025
825,5.3151
826,5.3261
827,5.3395
828,5.3564
829,5.3712
830,5.3768
831,5.3731
832,5.3647
833,5.3534
834,5.3354
835,5.3099
836,5.2869
837,5.2801
838,5.2904
839,5.3023
840,5.2994
841,5.2826
842,5.2695
843,5.2734
844,5.2883
845,5.2984
846,5.2975
847,5.2942
848,5.2985
849,5.3089
850,5.3155
851,5.3111
852,5.2983
853,5.2845
854,5.2766
855,5.2765
856,5.282
857,5.2888
858,5.2939
859,5.2972
860,5.2992
861,5.2992
862,5.2962
863,5.2908
864,5.2856
865,5.282
866,5.277
867,5.2651
868,5.245
869,5.2242
870,5.2146
871,5.2223
872,5.2419
873,5.2624
874,5.2777
875,5.2903
876,5.3046
877,5.3197
878,5.3288
879,5.327
880,5.3181
881,5.3126
882,5.3179
883,5.3312
884,5.3405
885,5.3347
886,5.3132
887,5.2895
888,5.2792
889,5.2854
890,5.2976
891,5.3046
892,5.3054
893,5.3054
894,5.3074
895,5.3096
896,5.3098
897,5.3092
898,5.3092
899,5.3098
900,5.31
901,5.31
902,5.31
903,5.3084
904,5.3037
905,5.2971
906,5.292
907,5.2906
908,5.2916
909,5.2936
910,5.2977
911,5.3044
912,5.3084
913,5.303
914,5.2903
915,5.2833
916,5.291
917,5.308
918,5.3203
919,5.3192
920,5.3074
921,5.2925
922,5.2785
923,5.2656
924,5.2546
925,5.2485
926,5.2498
927,5.2585
928,5.2717
929,5.2873
930,5.3052
931,5.3228
932,5.3314
933,5.3223
934,5.2973
935,5.2717
936,5.262
937,5.2706
938,5.286
939,5.2964
940,5.3017
941,5.3105
942,5.3271
943,5.3444
944,5.3516
945,5.3466
946,5.3393
947,5.342
948,5.3563
949,5.3724
950,5.3788
951,5.3724
952,5.3605
953,5.3533
954,5.3543
955,5.3578
956,5.3554
957,5.3451
958,5.3337
959,5.3308
960,5.341
961,5.358
962,5.3679
963,5.3603
964,5.3363
965,5.3065
966,5.2823
967,5.2699
968,5.2688
969,5.2733
970,5.2755
971,5.2703
972,5.2594
973,5.2493
974,5.2457
975,5.2487
976,5.2551
977,5.2623
978,5.2699
979,5.2763
980,5.2784
981,5.2738
982,5.2642
983,5.2543
984,5.2478
985,5.2462
986,5.2494
987,5.2561
988,5.2643
989,5.2712
990,5.2742
991,5.2716
992,5.2651
993,5.2583
994,5.2547
995,5.2552
996,5.2577
997,5.2579
998,5.2518
999,5.2382
1000,5.2215
1001,5.2106
1002,5.2142
1003,5.2327
1004,5.2556
1005,5.2674
1006,5.2609
1007,5.2442
1008,5.2337
1009,5.2383
1010,5.2515
1011,5.2593
1012,5.2539
1013,5.2404
1014,5.2304
1015,5.2324
1016,5.2452
1017,5.2602
1018,5.2698
1019,5.2723
1020,5.2716
1021,5.2712
1022,5.2705
1023,5.2645
1024,5.2497
1025,5.2292
1026,5.2139
1027,5.2152
1028,5.2345
1029,5.26
1030,5.2743
1031,5.2687
1032,5.2504
1033,5.235
1034,5.2325
1035,5.2406
1036,5.2488
1037,5.249
1038,5.2402
1039,5.2267
1040,5.2145
1041,5.2091
1042,5.2132
1043,5.2248
1044,5.2392
1045,5.2518
