second,kW
0,5.62
1,5.6196
2,5.6197
3,5.6185
4,5.6133
5,5.6046
6,5.5961
7,5.5905
8,5.5858
9,5.5778
10,5.5674
11,5.5623
12,5.5707
13,5.5902
14,5.6067
15,5.6059
16,5.5867
17,5.561
18,5.5432
19,5.5415
20,5.5562
21,5.5816
22,5.6096
23,5.6324
24,5.6458
25,5.6513
26,5.6538
27,5.6588
28,5.6695
29,5.6854
30,5.7026
31,5.7155
32,5.7209
33,5.7196
34,5.7143
35,5.7061
36,5.6927
37,5.6719
38,5.6457
39,5.6218
40,5.6078
41,5.6061
42,5.6132
43,5.6239
44,5.636
45,5.649
46,5.663
47,5.6779
48,5.6936
49,5.7084
50,5.7179
51,5.7179
52,5.7096
53,5.7009
54,5.7
55,5.7087
56,5.7203
57,5.7244
58,5.7143
59,5.6911
60,5.6625
61,5.6384
62,5.6264
63,5.6289
64,5.6408
65,5.6513
66,5.6503
67,5.6351
68,5.613
69,5.5948
70,5.5868
71,5.5877
72,5.5925
73,5.5977
74,5.6018
75,5.6031
76,5.6011
77,5.5983
78,5.5987
79,5.6029
80,5.6067
81,5.6051
82,5.5978
83,5.5896
84,5.586
85,5.5886
86,5.5937
87,5.5969
88,5.5991
89,5.6072
90,5.6269
91,5.6553
92,5.6818
93,5.6955
94,5.693
95,5.6801
96,5.6674
97,5.6622
98,5.6637
99,5.6645
100,5.6588
101,5.6478
102,5.6383
103,5.6355
104,5.6374
105,5.6377
106,5.6321
107,5.6215
108,5.6097
109,5.601
110,5.5988
111,5.6032
112,5.6094
113,5.611
114,5.6052
115,5.595
116,5.586
117,5.5804
118,5.5763
119,5.5722
120,5.5709
121,5.5761
122,5.5866
123,5.5963
124,5.6011
125,5.6031
126,5.6073
127,5.6154
128,5.6243
129,5.6311
130,5.6377
131,5.6489
132,5.6651
133,5.6792
134,5.6817
135,5.6703
136,5.6525
137,5.6375
138,5.6284
139,5.6221
140,5.6149
141,5.6066
142,5.6002
143,5.5996
144,5.6067
145,5.6184
146,5.6267
147,5.624
148,5.6096
149,5.5906
150,5.5765
