second,kW
0,21.1667
1,21.1682
2,21.1703
3,21.1704
4,21.1683
5,21.1698
6,21.1854
7,21.2205
8,21.2652
9,21.2982
10,21.3042
11,21.293
12,21.2949
13,21.3338
14,21.4009
15,21.4601
16,21.4861
17,21.4857
18,21.4813
19,21.4837
20,21.482
21,21.4618
22,21.4324
23,21.4278
24,21.4757
25,21.5621
26,21.6338
27,21.6419
28,21.5791
29,21.4749
30,21.3658
31,21.2817
32,21.2482
33,21.2784
34,21.3502
35,21.4028
36,21.3768
37,21.271
38,21.155
39,21.115
40,21.1792
41,21.2983
42,21.3964
43,21.4351
44,21.4307
45,21.4236
46,21.439
47,21.4676
48,21.4741
49,21.43
50,21.3459
51,21.2707
52,21.2499
53,21.2861
54,21.3457
55,21.3977
56,21.438
57,21.4762
58,21.513
59,21.5363
60,21.5335
61,21.5003
62,21.4412
63,21.371
64,21.3136
65,21.2889
66,21.2976
67,21.3216
68,21.341
69,21.3492
70,21.3469
71,21.3315
72,21.3008
73,21.2667
74,21.2513
75,21.2642
76,21.2912
77,21.3103
78,21.317
79,21.3264
80,21.3521
81,21.3897
82,21.4226
83,21.4374
84,21.4314
85,21.41
86,21.3816
87,21.3536
88,21.327
89,21.2952
90,21.2518
91,21.2032
92,21.1715
93,21.1797
94,21.2296
95,21.2967
96,21.3494
97,21.3726
98,21.3721
99,21.3604
100,21.3455
101,21.3314
102,21.321
103,21.3173
104,21.3245
105,21.3476
106,21.3852
107,21.4237
108,21.4444
109,21.4387
110,21.4122
111,21.3785
112,21.3542
113,21.3539
114,21.3803
115,21.4149
116,21.4285
117,21.4058
118,21.3608
119,21.3244
120,21.3165
121,21.3329
122,21.356
123,21.3695
124,21.3599
125,21.3158
126,21.2375
127,21.1475
128,21.0843
129,21.0772
130,21.1244
131,21.1971
132,21.2677
133,21.3324
134,21.4013
135,21.4691
136,21.5078
137,21.4932
138,21.4305
139,21.3514
140,21.2904
141,21.2653
142,21.2671
143,21.2625
144,21.2146
145,21.1156
146,21.002
147,20.9307
148,20.9359
149,21.0043
150,21.0907
151,21.1507
152,21.1649
153,21.1434
154,21.1146
155,21.1072
156,21.1321
157,21.1758
158,21.2139
159,21.2356
160,21.2508
161,21.2714
162,21.2947
163,21.3102
164,21.316
165,21.3187
166,21.3234
167,21.3324
168,21.3545
169,21.4035
170,21.481
171,21.5612
172,21.5986
173,21.5605
174,21.4614
175,21.3633
176,21.3309
177,21.378
178,21.457
179,21.501
180,21.4791
181,21.4164
182,21.3666
183,21.3672
184,21.4113
185,21.4562
186,21.4596
187,21.4149
188,21.352
189,21.3073
190,21.296
191,21.3132
192,21.3481
193,21.3877
194,21.4132
195,21.4096
196,21.3837
197,21.3617
198,21.3633
199,21.3817
200,21.3969
201,21.4025
202,21.4112
203,21.4356
204,21.4698
205,21.4938
206,21.49
207,21.4569
208,21.4075
209,21.3582
210,21.3191
211,21.2958
212,21.2957
213,21.3246
214,21.3707
215,21.4002
216,21.381
217,21.3104
218,21.2162
219,21.1335
220,21.0846
221,21.0776
222,21.1121
223,21.1797
224,21.2596
225,21.3252
226,21.3602
227,21.3683
228,21.3646
229,21.3609
230,21.361
231,21.3693
232,21.3942
233,21.4402
234,21.4992
235,21.5544
236,21.5917
237,21.6059
238,21.6019
239,21.5936
240,21.5953
241,21.6082
242,21.6173
243,21.6066
244,21.5747
245,21.5306
246,21.4802
247,21.4228
248,21.3626
249,21.3172
250,21.3109
251,21.3541
252,21.4301
253,21.5031
254,21.5407
255,21.5332
256,21.4966
257,21.4613
258,21.4514
259,21.4703
260,21.5009
261,21.5212
262,21.5212
263,21.509
264,21.5019
265,21.5103
266,21.529
267,21.5418
268,21.535
269,21.5102
270,21.4861
271,21.4874
272,21.5235
273,21.5758
274,21.6086
275,21.6005
276,21.5633
277,21.5263
278,21.5064
279,21.4983
280,21.4905
281,21.4754
282,21.4451
283,21.391
284,21.3208
285,21.2674
286,21.267
287,21.3233
288,21.4028
289,21.4642
290,21.4894
291,21.4842
292,21.4589
293,21.4191
294,21.375
295,21.3527
296,21.3834
297,21.4739
298,21.5854
299,21.6538
300,21.6401
301,21.5628
302,21.4791
303,21.4313
304,21.4161
305,21.405
306,21.3835
307,21.3631
308,21.3597
309,21.3739
310,21.393
311,21.4
312,21.3809
313,21.3369
314,21.295
315,21.2928
316,21.3442
317,21.4253
318,21.4951
319,21.5237
320,21.5044
321,21.4528
322,21.401
323,21.38
324,21.3968
325,21.4288
326,21.446
327,21.4427
328,21.4416
329,21.4657
330,21.5055
331,21.524
332,21.4948
333,21.4283
334,21.3582
335,21.3083
336,21.2812
337,21.2724
338,21.2832
339,21.3159
340,21.3629
341,21.4101
342,21.4487
343,21.4809
344,21.5126
345,21.5417
346,21.5542
347,21.5356
348,21.4864
349,21.427
350,21.3865
351,21.386
352,21.4252
353,21.4818
354,21.5288
355,21.5542
356,21.5629
357,21.5621
358,21.5496
359,21.519
360,21.47
361,21.4121
362,21.3587
363,21.321
364,21.2994
365,21.2805
366,21.2501
367,21.2161
368,21.2121
369,21.2655
370,21.3632
371,21.4544
372,21.4907
373,21.4634
374,21.4052
375,21.3617
376,21.3617
377,21.4075
378,21.4815
379,21.5545
380,21.5968
381,21.5948
382,21.5637
383,21.5364
384,21.5347
385,21.5517
386,21.562
387,21.5466
388,21.5064
389,21.4554
390,21.4069
391,21.3668
392,21.3386
393,21.3303
394,21.3518
395,21.401
396,21.456
397,21.4865
398,21.4781
399,21.4482
400,21.4307
401,21.4465
402,21.4911
403,21.5486
404,21.6051
405,21.6473
406,21.6636
407,21.6546
408,21.6361
409,21.6235
410,21.6213
411,21.6308
412,21.6562
413,21.6962
414,21.7366
415,21.7599
416,21.7611
417,21.748
418,21.7286
419,21.7017
420,21.6637
421,21.6238
422,21.6037
423,21.616
424,21.6445
425,21.6559
426,21.6312
427,21.5814
428,21.5315
429,21.4937
430,21.4624
431,21.4356
432,21.4315
433,21.4729
434,21.5541
435,21.6311
436,21.6555
437,21.6184
438,21.5565
439,21.5123
440,21.4904
441,21.4595
442,21.3958
443,21.3188
444,21.2801
445,21.3137
446,21.3998
447,21.4813
448,21.5154
449,21.5051
450,21.4807
451,21.4589
452,21.4297
453,21.3835
454,21.3421
455,21.3494
456,21.4281
457,21.5492
458,21.6516
459,21.6934
460,21.6806
461,21.6481
462,21.6188
463,21.5863
464,21.5349
465,21.4669
466,21.4058
467,21.3742
468,21.3767
469,21.4059
470,21.4551
471,21.5144
472,21.5629
473,21.5797
474,21.5684
475,21.5582
476,21.5701
477,21.5895
478,21.5846
479,21.5498
480,21.5186
481,21.5278
482,21.5764
483,21.6235
484,21.627
485,21.5853
486,21.5424
487,21.5506
488,21.62
489,21.7049
490,21.743
491,21.7138
492,21.6548
493,21.6246
494,21.6519
495,21.7162
496,21.7652
497,21.7529
498,21.6769
499,21.5868
500,21.5467
501,21.5772
502,21.6327
503,21.6434
504,21.5818
505,21.4877
506,21.4295
507,21.4453
508,21.5161
509,21.5896
510,21.626
511,21.6243
512,21.6087
513,21.5986
514,21.5919
515,21.5765
516,21.5512
517,21.5332
518,21.5411
519,21.5715
520,21.5977
521,21.5952
522,21.567
523,21.5428
524,21.5525
525,21.6027
526,21.6756
527,21.7435
528,21.7843
529,21.79
530,21.7704
531,21.7478
532,21.7389
533,21.7404
534,21.7336
535,21.7062
536,21.6663
537,21.6334
538,21.6184
539,21.6132
540,21.6019
541,21.58
542,21.5607
543,21.5623
544,21.5889
545,21.6238
546,21.6444
547,21.644
548,21.6363
549,21.6374
550,21.6481
551,21.6578
552,21.6588
553,21.6521
554,21.6408
555,21.6248
556,21.6061
557,21.5938
558,21.5988
559,21.6246
560,21.6689
561,21.7318
562,21.8089
563,21.8762
564,21.8978
565,21.8574
566,21.7796
567,21.7134
568,21.6974
569,21.7389
570,21.813
571,21.8749
572,21.8834
573,21.8283
574,21.7397
575,21.6607
576,21.6068
577,21.5573
578,21.4889
579,21.4108
580,21.3585
581,21.3544
582,21.3821
583,21.4014
584,21.3883
585,21.3542
586,21.3262
587,21.3163
588,21.3166
589,21.3185
590,21.3237
591,21.3323
592,21.3337
593,21.3189
594,21.3002
595,21.3045
596,21.3446
597,21.4064
598,21.4651
599,21.5057
600,21.5252
601,21.5246
602,21.5082
603,21.484
604,21.4562
605,21.421
606,21.3786
607,21.3472
608,21.3533
609,21.4067
610,21.486
611,21.5522
612,21.5745
613,21.5461
614,21.4847
615,21.4255
616,21.409
617,21.4587
618,21.5565
619,21.6475
620,21.682
621,21.6539
622,21.5964
623,21.544
624,21.5076
625,21.4815
626,21.4619
627,21.4521
628,21.4555
629,21.47
630,21.4903
631,21.5111
632,21.5282
633,21.5377
634,21.5346
635,21.5163
636,21.4907
637,21.4779
638,21.4961
639,21.5402
640,21.5774
641,21.5726
642,21.5229
643,21.4652
644,21.443
645,21.4639
646,21.4925
647,21.4872
648,21.4419
649,21.3887
650,21.3624
651,21.3698
652,21.393
653,21.4147
654,21.4377
655,21.4797
656,21.5502
657,21.6329
658,21.695
659,21.7192
660,21.7207
661,21.7279
662,21.7512
663,21.7769
664,21.785
665,21.766
666,21.7241
667,21.6713
668,21.6202
669,21.5797
670,21.554
671,21.543
672,21.5413
673,21.5416
674,21.5436
675,21.5563
676,21.5854
677,21.6195
678,21.6362
679,21.6229
680,21.5874
681,21.5477
682,21.5174
683,21.5015
684,21.4999
685,21.5085
686,21.5159
687,21.5056
688,21.4716
689,21.4325
690,21.4242
691,21.4665
692,21.5373
693,21.5857
694,21.5784
695,21.5295
696,21.4808
697,21.459
698,21.4615
699,21.479
700,21.5135
701,21.5671
702,21.6222
703,21.6461
704,21.619
705,21.5547
706,21.4891
707,21.4484
708,21.4309
709,21.4212
710,21.4147
711,21.4165
712,21.4208
713,21.408
714,21.3718
715,21.3374
716,21.3397
717,21.3868
718,21.4544
719,21.5143
720,21.558
721,21.5896
722,21.6052
723,21.5896
724,21.5317
725,21.4395
726,21.3388
727,21.2598
728,21.2243
729,21.2379
730,21.2896
731,21.3574
732,21.4211
733,21.4715
734,21.5089
735,21.5329
736,21.5355
737,21.5093
738,21.4628
739,21.4252
740,21.4268
741,21.4739
742,21.5426
743,21.5988
744,21.6279
745,21.6442
746,21.6702
747,21.7029
748,21.7055
749,21.6397
750,21.5071
751,21.3544
752,21.2363
753,21.1781
754,21.174
755,21.2104
756,21.2734
757,21.3364
758,21.3603
759,21.322
760,21.2419
761,21.1737
762,21.1629
763,21.2134
764,21.2908
765,21.3524
766,21.3777
767,21.374
768,21.3621
769,21.36
770,21.3766
771,21.4146
772,21.4694
773,21.5233
774,21.5501
775,21.5342
776,21.4878
777,21.4407
778,21.4082
779,21.377
780,21.3299
781,21.2789
782,21.2605
783,21.2983
784,21.3771
785,21.456
786,21.5009
787,21.5031
788,21.4756
789,21.4399
790,21.4131
791,21.401
792,21.402
793,21.4146
794,21.4328
795,21.4369
796,21.4012
797,21.3183
798,21.2136
799,21.1296
800,21.0939
801,21.1014
802,21.1313
803,21.1766
804,21.2468
805,21.3413
806,21.4364
807,21.5037
808,21.5339
809,21.5363
810,21.5193
811,21.4848
812,21.4404
813,21.4117
814,21.4289
815,21.4984
816,21.592
817,21.6688
818,21.7058
819,21.7046
820,21.6769
821,21.6346
822,21.5938
823,21.5733
824,21.5785
825,21.5928
826,21.5955
827,21.5873
828,21.5908
829,21.6235
830,21.6777
831,21.7307
832,21.7657
833,21.7771
834,21.7647
835,21.7321
836,21.6894
837,21.6518
838,21.6339
839,21.645
840,21.684
841,21.7357
842,21.7745
843,21.7801
844,21.7511
845,21.7056
846,21.6652
847,21.6394
848,21.6245
849,21.6115
850,21.5942
851,21.57
852,21.5379
853,21.4982
854,21.4557
855,21.4212
856,21.4051
857,21.4076
858,21.416
859,21.4158
860,21.4035
861,21.3884
862,21.3821
863,21.3874
864,21.3977
865,21.4042
866,21.4046
867,21.4053
868,21.4139
869,21.4296
870,21.4434
871,21.4481
872,21.4487
873,21.46
874,21.4919
875,21.5385
876,21.5823
877,21.6091
878,21.6165
879,21.6086
880,21.5901
881,21.5713
882,21.5697
883,21.5933
884,21.6222
885,21.6214
886,21.579
887,21.5276
888,21.5114
889,21.537
890,21.5724
891,21.587
892,21.5786
893,21.5629
894,21.549
895,21.5344
896,21.5177
897,21.5045
898,21.4996
899,21.4997
900,21.5
901,21.5005
902,21.5014
903,21.4963
904,21.4799
905,21.4602
906,21.4539
907,21.4695
908,21.4997
909,21.5289
910,21.5424
911,21.5331
912,21.5083
913,21.4907
914,21.5003
915,21.5337
916,21.5696
917,21.5948
918,21.6139
919,21.6329
920,21.6412
921,21.6217
922,21.5779
923,21.538
924,21.5287
925,21.5479
926,21.5667
927,21.5559
928,21.5063
929,21.4317
930,21.3597
931,21.3196
932,21.3301
933,21.3859
934,21.4574
935,21.5096
936,21.5277
937,21.5235
938,21.5172
939,21.5139
940,21.5
941,21.4605
942,21.3992
943,21.3405
944,21.3096
945,21.3102
946,21.3214
947,21.3149
948,21.2778
949,21.2228
950,21.1823
951,21.185
952,21.2349
953,21.3097
954,21.3827
955,21.444
956,21.4996
957,21.5533
958,21.5965
959,21.6173
960,21.613
961,21.5932
962,21.5741
963,21.5696
964,21.581
965,21.5936
966,21.5867
967,21.5491
968,21.4872
969,21.4224
970,21.3776
971,21.3611
972,21.36
973,21.3535
974,21.3332
975,21.3102
976,21.3048
977,21.3326
978,21.3943
979,21.4726
980,21.5406
981,21.5794
982,21.5906
983,21.5902
984,21.5935
985,21.6055
986,21.6208
987,21.6266
988,21.6084
989,21.559
990,21.4857
991,21.4094
992,21.3552
993,21.3402
994,21.3622
995,21.3992
996,21.4233
997,21.4206
998,21.3976
999,21.3719
1000,21.3627
1001,21.3856
1002,21.4397
1003,21.4976
1004,21.5216
1005,21.4996
1006,21.4582
1007,21.4339
1008,21.4349
1009,21.4416
1010,21.4386
1011,21.4335
1012,21.4435
1013,21.4723
1014,21.5072
1015,21.5357
1016,21.5608
1017,21.5958
1018,21.644
