second,kW
0,7.28
1,7.2773
2,7.2738
3,7.2702
4,7.2654
5,7.2578
6,7.248
7,7.2396
8,7.2351
9,7.2322
10,7.2268
11,7.2177
12,7.2074
13,7.1979
14,7.1919
15,7.1951
16,7.2117
17,7.2361
18,7.255
19,7.2578
20,7.2471
21,7.2339
22,7.226
23,7.221
24,7.2132
25,7.2018
26,7.192
27,7.189
28,7.1939
29,7.2058
30,7.224
31,7.2468
32,7.2682
33,7.2809
34,7.2831
35,7.2793
36,7.2725
37,7.2602
38,7.239
39,7.2109
40,7.1827
41,7.1623
42,7.1541
43,7.1558
44,7.158
45,7.1506
46,7.1327
47,7.1146
48,7.1083
49,7.1151
50,7.1263
51,7.1332
52,7.135
53,7.1368
54,7.142
55,7.148
56,7.1495
57,7.144
58,7.1353
59,7.1302
60,7.1332
61,7.1433
62,7.1553
63,7.1643
64,7.1675
65,7.1638
66,7.1529
67,7.1359
68,7.1173
69,7.1045
70,7.1034
71,7.1127
72,7.123
73,7.1247
74,7.1173
75,7.1082
76,7.104
77,7.1035
78,7.1017
79,7.0979
80,7.0961
81,7.0994
82,7.1068
83,7.1153
84,7.1233
85,7.128
86,7.1237
87,7.1064
88,7.0814
89,7.0624
90,7.0608
91,7.0759
92,7.0963
93,7.1104
94,7.112
95,7.1004
96,7.0786
97,7.053
98,7.0307
99,7.0153
100,7.0055
101,7.0006
102,7.0042
103,7.0208
104,7.0484
105,7.0753
106,7.0866
107,7.0761
108,7.0519
109,7.0313
110,7.0281
111,7.0426
112,7.0621
113,7.0715
114,7.0649
115,7.0492
116,7.036
117,7.0305
118,7.0296
119,7.0279
120,7.0227
121,7.0135
122,7.0008
123,6.9888
124,6.9847
125,6.9899
126,6.9952
127,6.9895
128,6.9754
129,6.9717
130,6.9949
131,7.0382
132,7.0742
133,7.0777
134,7.0482
135,7.0079
136,6.9813
137,6.9765
138,6.9854
139,6.9961
140,7.0035
141,7.0083
142,7.0133
143,7.0218
144,7.037
145,7.0569
146,7.0728
147,7.0741
148,7.0571
149,7.0266
150,6.991
151,6.9562
152,6.9268
153,6.9081
154,6.9055
155,6.9189
156,6.9398
157,6.9566
158,6.9636
159,6.9656
160,6.9727
161,6.9912
162,7.0165
163,7.0355
164,7.0358
165,7.017
166,6.9918
167,6.9758
168,6.9741
169,6.9778
170,6.9749
171,6.9637
172,6.9535
173,6.9533
