second,kW
0,7.22
1,7.2184
2,7.2137
3,7.2074
4,7.2012
5,7.1953
6,7.1875
7,7.1764
8,7.1629
9,7.1486
10,7.1346
11,7.1217
12,7.1135
13,7.115
14,7.128
15,7.1465
16,7.1578
17,7.1531
18,7.1338
19,7.1108
20,7.0945
21,7.0881
22,7.0875
23,7.0885
24,7.091
25,7.0963
26,7.102
27,7.103
28,7.0975
29,7.0899
30,7.0868
31,7.0911
32,7.0996
33,7.1077
34,7.113
35,7.1159
36,7.1179
37,7.1227
38,7.1361
39,7.1609
40,7.1907
41,7.2108
42,7.2081
43,7.182
44,7.1438
45,7.109
46,7.0888
47,7.0861
48,7.0967
49,7.112
50,7.123
51,7.124
52,7.1167
53,7.1092
54,7.11
55,7.1218
56,7.1412
57,7.1614
58,7.1753
59,7.1793
60,7.1764
61,7.1746
62,7.1792
63,7.1885
64,7.1956
65,7.1938
66,7.1814
67,7.1655
68,7.158
69,7.1672
70,7.1906
71,7.2157
72,7.2296
73,7.2273
74,7.2134
75,7.1984
76,7.1931
77,7.2018
78,7.2196
79,7.2347
80,7.2381
81,7.2306
82,7.2213
83,7.2196
84,7.2268
85,7.2363
86,7.2395
87,7.2335
88,7.2231
89,7.2162
90,7.2161
91,7.2185
92,7.2152
93,7.2022
94,7.1834
95,7.1679
96,7.1626
97,7.1682
98,7.1784
99,7.1843
100,7.1799
101,7.1661
102,7.1487
103,7.1354
104,7.1309
105,7.1361
106,7.147
107,7.1567
108,7.1603
109,7.1579
110,7.153
111,7.1492
112,7.1482
113,7.1483
114,7.1458
115,7.1391
116,7.1318
117,7.1308
118,7.1404
119,7.157
120,7.1733
121,7.1835
122,7.1841
123,7.1724
124,7.1489
125,7.1219
126,7.1051
127,7.1062
128,7.1211
129,7.1379
130,7.1463
131,7.1448
132,7.1386
133,7.1328
134,7.1262
135,7.1145
136,7.0982
137,7.0855
138,7.0855
139,7.1003
140,7.1248
141,7.1506
142,7.17
143,7.1778
144,7.1736
145,7.1625
146,7.1516
147,7.1462
148,7.1485
149,7.158
150,7.1724
151,7.1884
152,7.2029
153,7.2137
154,7.2187
155,7.2156
156,7.2037
157,7.1874
158,7.1755
159,7.1743
160,7.1813
161,7.1874
162,7.1849
163,7.1752
164,7.1665
165,7.1644
166,7.1666
167,7.1669
168,7.1639
169,7.1614
170,7.1624
171,7.1661
172,7.171
173,7.1787
174,7.1906
175,7.2048
176,7.2168
177,7.2234
178,7.2253
179,7.2238
180,7.2176
181,7.2041
182,7.1838
183,7.1632
184,7.1511
185,7.1516
186,7.1613
187,7.1723
188,7.179
189,7.1802
190,7.1788
191,7.1798
192,7.1871
193,7.2008
194,7.2163
195,7.2282
196,7.234
197,7.2338
198,7.2283
199,7.2185
200,7.207
201,7.1973
202,7.1925
203,7.1949
204,7.2058
205,7.2222
206,7.2365
207,7.2392
208,7.2253
209,7.1972
210,7.1634
211,7.1342
212,7.1174
213,7.1157
214,7.1247
215,7.1353
216,7.139
217,7.134
218,7.1256
219,7.1202
220,7.1188
221,7.1181
222,7.1165
223,7.119
224,7.1328
225,7.1562
226,7.174
227,7.1683
228,7.1354
229,7.0933
230,7.0707
231,7.0866
232,7.1361
233,7.1945
234,7.2342
235,7.2428
236,7.2265
237,7.2016
238,7.1819
239,7.1722
240,7.1698
241,7.1693
242,7.1664
243,7.1603
244,7.1531
245,7.1487
246,7.1491
247,7.152
248,7.1529
249,7.1482
250,7.137
251,7.1216
252,7.1076
253,7.1028
254,7.1098
255,7.1215
256,7.1251
257,7.116
258,7.1039
259,7.1043
260,7.1234
261,7.1527
262,7.1754
263,7.1802
264,7.1697
265,7.1581
266,7.1586
267,7.1728
268,7.191
269,7.2021
270,7.2016
271,7.1919
272,7.1785
273,7.1668
274,7.1596
275,7.1559
276,7.1548
277,7.1594
278,7.1749
279,7.202
280,7.233
281,7.255
282,7.2578
283,7.2405
284,7.2124
285,7.1869
286,7.1721
287,7.1677
288,7.1686
289,7.1706
290,7.1722
291,7.1736
292,7.1761
293,7.1811
294,7.1878
295,7.1909
296,7.1858
297,7.1763
298,7.1733
299,7.1819
300,7.1926
301,7.1893
302,7.1679
303,7.1424
304,7.1305
305,7.1353
306,7.1423
307,7.1348
308,7.1109
309,7.0853
310,7.0747
311,7.0827
312,7.0983
313,7.1096
314,7.1139
315,7.1149
316,7.1146
317,7.1122
318,7.1083
319,7.1058
320,7.105
321,7.1017
322,7.0939
323,7.0891
324,7.1005
325,7.1329
326,7.1731
327,7.1993
328,7.2002
329,7.1847
330,7.1705
331,7.1655
332,7.1609
333,7.1444
334,7.1156
335,7.0877
336,7.0728
337,7.0707
338,7.0728
339,7.0743
340,7.0792
341,7.0938
342,7.1181
343,7.1449
344,7.1665
345,7.1785
346,7.1787
347,7.1658
348,7.1417
349,7.1154
350,7.0994
351,7.1002
352,7.1135
353,7.1294
354,7.1425
355,7.1564
356,7.1776
357,7.2067
358,7.234
359,7.2447
360,7.2291
361,7.1898
362,7.1394
363,7.0941
364,7.0676
365,7.0659
366,7.084
367,7.1081
368,7.1237
369,7.1256
370,7.1187
371,7.1125
372,7.1129
373,7.1194
374,7.1268
375,7.1317
376,7.1366
377,7.1466
378,7.1624
379,7.1773
380,7.1829
381,7.1782
382,7.1703
383,7.1681
384,7.1744
385,7.1871
386,7.2046
387,7.2278
388,7.2553
389,7.278
390,7.2838
391,7.2698
392,7.2482
393,7.237
394,7.2437
395,7.2606
396,7.2723
397,7.2677
398,7.2446
399,7.211
400,7.1812
401,7.1684
402,7.174
403,7.1854
404,7.187
405,7.1742
406,7.1564
407,7.1472
408,7.1508
409,7.1593
410,7.1625
411,7.1571
412,7.1489
413,7.1475
414,7.1598
415,7.1861
416,7.2189
417,7.2444
418,7.2495
419,7.2307
420,7.1961
421,7.1604
422,7.1365
423,7.1296
424,7.1353
425,7.1423
426,7.1409
427,7.1308
428,7.1187
429,7.1088
430,7.0986
431,7.0859
432,7.0747
433,7.0705
434,7.0714
435,7.0704
436,7.0669
437,7.0691
438,7.0839
439,7.1082
440,7.1327
441,7.1516
442,7.1648
443,7.1736
444,7.1762
445,7.1691
446,7.1524
447,7.1342
448,7.1276
449,7.1394
450,7.1621
451,7.1767
452,7.1702
453,7.1473
454,7.1253
455,7.1178
456,7.1257
457,7.1426
458,7.1614
459,7.1745
460,7.1741
461,7.1581
462,7.1351
463,7.1192
464,7.1175
