second,kW
0,4.02
1,4.0195
2,4.019
3,4.0186
4,4.0185
5,4.0181
6,4.0164
7,4.0142
8,4.0133
9,4.0144
10,4.0161
11,4.0173
12,4.0194
13,4.0226
14,4.024
15,4.0206
16,4.0143
17,4.0119
18,4.0188
19,4.0331
20,4.0471
21,4.0538
22,4.0525
23,4.0485
24,4.0476
25,4.0509
26,4.055
27,4.0558
28,4.0516
29,4.0437
30,4.034
31,4.0236
32,4.0136
33,4.0056
34,4.0001
35,3.9958
36,3.9894
37,3.9796
38,3.9696
39,3.9657
40,3.9713
41,3.9846
42,4.0006
43,4.0139
44,4.0209
45,4.0207
46,4.015
47,4.0056
48,3.9941
49,3.9822
50,3.9728
51,3.9687
52,3.9708
53,3.977
54,3.9835
55,3.9871
56,3.9875
57,3.9855
58,3.9814
59,3.9759
60,3.9706
61,3.9671
62,3.9639
63,3.9575
64,3.9466
65,3.9357
66,3.9323
67,3.9398
68,3.9532
69,3.9629
70,3.9627
71,3.9534
72,3.942
73,3.9371
74,3.9445
75,3.9639
76,3.9882
77,4.0073
78,4.0155
79,4.0156
80,4.0153
81,4.0184
82,4.0202
83,4.0129
84,3.9951
85,3.9741
86,3.9594
87,3.9547
88,3.9566
89,3.958
90,3.9555
91,3.9513
92,3.9493
93,3.9484
94,3.9426
95,3.928
96,3.9095
97,3.8988
98,3.9028
99,3.9174
100,3.9314
101,3.9367
102,3.9332
103,3.9262
104,3.9205
105,3.9183
106,3.9195
107,3.9217
108,3.922
109,3.9184
110,3.9118
111,3.9045
112,3.8983
113,3.8947
114,3.8959
115,3.9037
116,3.9175
117,3.9333
118,3.946
119,3.952
120,3.9512
121,3.9466
122,3.9421
123,3.94
124,3.9394
125,3.9378
126,3.9335
127,3.9275
128,3.922
129,3.919
130,3.9195
131,3.9237
132,3.9311
133,3.9392
134,3.9448
135,3.9452
136,3.9409
137,3.9354
138,3.9338
139,3.9378
140,3.9438
141,3.9449
142,3.9366
143,3.922
144,3.9084
145,3.9006
146,3.8957
147,3.8868
148,3.8717
149,3.8577
150,3.856
151,3.8709
152,3.8953
153,3.9158
154,3.9224
155,3.9145
156,3.8991
157,3.885
158,3.8771
159,3.8761
160,3.8805
161,3.8893
162,3.9017
163,3.9154
164,3.9263
165,3.9302
166,3.9266
167,3.9207
168,3.919
169,3.9227
170,3.9265
171,3.9255
172,3.9204
173,3.9159
174,3.9153
175,3.9178
176,3.9209
177,3.9231
178,3.9241
179,3.9241
180,3.9235
181,3.9224
182,3.9191
183,3.9113
184,3.899
185,3.8871
186,3.8821
187,3.8848
188,3.8885
189,3.8846
190,3.8711
191,3.8546
192,3.844
193,3.8428
194,3.8476
195,3.8539
196,3.8599
197,3.8658
198,3.8721
199,3.8792
200,3.8874
201,3.8952
202,3.8984
203,3.8943
204,3.8856
205,3.8795
206,3.8814
207,3.8905
208,3.9022
209,3.9125
210,3.9195
211,3.9224
212,3.9207
213,3.9147
214,3.9059
215,3.8952
216,3.8813
217,3.8634
218,3.8438
219,3.8285
