second,kW
0,5.3
1,5.2988
2,5.2949
3,5.2888
4,5.2826
5,5.2784
6,5.2768
7,5.2774
8,5.2789
9,5.2805
10,5.2838
11,5.2915
12,5.3021
13,5.3062
14,5.2942
15,5.2681
16,5.2417
17,5.2275
18,5.2259
19,5.2269
20,5.2219
21,5.212
22,5.2041
23,5.2029
24,5.2074
25,5.2115
26,5.2084
27,5.1959
28,5.1796
29,5.1702
30,5.1746
31,5.1902
32,5.2074
33,5.2184
34,5.222
35,5.2225
36,5.2242
37,5.2281
38,5.2319
39,5.2336
40,5.2342
41,5.2356
42,5.2359
43,5.2296
44,5.2144
45,5.196
46,5.1848
47,5.1856
48,5.1937
49,5.2006
50,5.2021
51,5.2008
52,5.201
53,5.2043
54,5.2089
55,5.2119
56,5.2106
57,5.2043
58,5.1963
59,5.1915
60,5.1915
61,5.1939
62,5.1964
63,5.2008
64,5.2098
65,5.2226
66,5.235
67,5.2428
68,5.2453
69,5.2443
70,5.2431
71,5.2439
72,5.2453
73,5.2432
74,5.2344
75,5.2207
76,5.2073
77,5.1991
78,5.197
79,5.1981
80,5.1985
81,5.1948
82,5.1859
83,5.1723
84,5.1569
85,5.1439
86,5.1368
87,5.1382
88,5.1502
89,5.174
90,5.2055
91,5.2346
92,5.2511
93,5.2543
94,5.253
95,5.2557
96,5.2615
97,5.2617
98,5.2504
99,5.2316
100,5.2149
101,5.2068
102,5.2066
103,5.2106
104,5.2165
105,5.2233
106,5.2279
107,5.2263
108,5.2187
109,5.2121
110,5.2145
111,5.2272
112,5.2415
113,5.2462
114,5.2383
115,5.2263
116,5.2218
117,5.2286
118,5.2412
119,5.2513
120,5.255
121,5.2537
122,5.2499
123,5.2439
124,5.234
125,5.2202
126,5.2073
127,5.2008
128,5.2012
129,5.2026
130,5.1996
131,5.1944
132,5.1944
133,5.2042
134,5.2204
135,5.2349
136,5.2408
137,5.2379
138,5.2303
139,5.2221
140,5.2147
141,5.2069
142,5.1977
143,5.1876
144,5.1791
145,5.1744
146,5.1739
147,5.1762
148,5.1802
149,5.1865
150,5.1966
151,5.2101
152,5.2251
153,5.241
154,5.2587
155,5.2778
156,5.2932
157,5.2972
158,5.2865
159,5.2671
160,5.2492
161,5.2386
162,5.2326
163,5.2268
164,5.2222
165,5.2235
166,5.2314
167,5.2388
168,5.2381
169,5.2295
170,5.2218
171,5.2249
172,5.2406
173,5.2602
174,5.2732
175,5.276
176,5.2746
177,5.2758
178,5.2782
179,5.2733
180,5.2556
181,5.2314
182,5.2153
183,5.217
184,5.233
185,5.2505
186,5.2594
187,5.2598
188,5.2569
189,5.2525
190,5.2424
191,5.2241
192,5.2032
193,5.1891
194,5.1851
195,5.1852
196,5.181
197,5.1724
198,5.1679
199,5.174
200,5.1885
201,5.2034
202,5.2146
203,5.224
204,5.2337
205,5.2408
206,5.2408
207,5.2334
208,5.2231
209,5.2148
210,5.2104
211,5.2099
212,5.2132
213,5.2192
214,5.2247
215,5.2263
216,5.2239
217,5.2219
218,5.2238
219,5.2278
220,5.2296
221,5.2282
222,5.2256
223,5.2222
224,5.2148
225,5.2022
226,5.1905
227,5.1888
228,5.1998
229,5.2164
230,5.2287
231,5.2327
232,5.2314
233,5.2302
234,5.2326
235,5.2385
236,5.244
237,5.2443
238,5.2385
239,5.2313
240,5.2292
241,5.2335
242,5.2383
243,5.2359
244,5.2239
245,5.2068
246,5.1924
247,5.1853
248,5.184
249,5.1832
250,5.1798
251,5.176
252,5.1762
253,5.1821
254,5.1913
255,5.2013
256,5.2121
257,5.2248
258,5.2378
259,5.2467
260,5.2476
261,5.2415
262,5.2323
263,5.2236
264,5.2167
265,5.212
266,5.2104
267,5.2117
268,5.2135
269,5.213
270,5.2111
271,5.2124
272,5.2198
273,5.2294
274,5.233
275,5.2265
276,5.2138
277,5.2023
278,5.1954
279,5.1911
280,5.1859
281,5.18
282,5.1767
283,5.1775
284,5.1792
285,5.1773
286,5.1697
287,5.1595
288,5.1532
289,5.157
290,5.1713
291,5.1894
292,5.2019
293,5.2042
294,5.1993
295,5.1944
296,5.1948
297,5.201
298,5.2093
299,5.2152
300,5.2168
301,5.2152
302,5.2123
303,5.2077
304,5.1987
305,5.1838
306,5.1668
307,5.1557
308,5.1568
309,5.1694
310,5.1856
311,5.1968
312,5.2007
313,5.2015
314,5.2043
315,5.2102
316,5.2162
317,5.2188
318,5.2168
319,5.2121
320,5.2077
321,5.2041
322,5.1985
323,5.1877
324,5.1726
325,5.1573
326,5.1462
327,5.1411
328,5.1428
329,5.152
330,5.167
331,5.183
332,5.1948
333,5.2011
334,5.2049
335,5.2101
336,5.2171
337,5.2221
338,5.2208
339,5.2116
340,5.1971
341,5.1824
342,5.1716
343,5.1657
344,5.1624
345,5.1589
346,5.1535
347,5.1469
348,5.1417
349,5.1407
350,5.1439
351,5.1488
352,5.1533
353,5.1586
354,5.1679
355,5.1835
356,5.2032
357,5.2219
358,5.2347
359,5.2405
360,5.2425
361,5.244
362,5.2438
363,5.2386
364,5.2285
365,5.2192
366,5.215
367,5.2127
368,5.204
369,5.1865
370,5.1678
371,5.1596
372,5.1667
373,5.1832
374,5.1982
375,5.2033
376,5.1959
377,5.1779
378,5.1554
379,5.1366
380,5.1281
381,5.1297
382,5.1348
383,5.1363
384,5.1323
385,5.1268
386,5.1238
387,5.1236
388,5.1238
389,5.1241
390,5.1285
391,5.1401
392,5.1561
393,5.1699
394,5.1784
395,5.1846
396,5.1926
397,5.2017
398,5.2076
399,5.2099
400,5.2141
401,5.2238
402,5.2335
403,5.2327
404,5.2173
405,5.195
406,5.1785
407,5.1745
408,5.1788
409,5.1827
410,5.1821
411,5.1794
412,5.1776
413,5.175
414,5.1675
415,5.1558
416,5.1462
417,5.1441
418,5.1475
419,5.1494
420,5.1447
421,5.1356
422,5.1287
423,5.1294
424,5.1369
425,5.1445
426,5.1443
427,5.1335
428,5.1183
429,5.1098
430,5.1148
431,5.1301
432,5.1461
433,5.1557
434,5.1585
435,5.1593
436,5.1604
437,5.1581
438,5.1463
439,5.1242
440,5.1006
441,5.0878
442,5.0927
443,5.1109
444,5.1309
445,5.1431
446,5.1469
447,5.1498
448,5.1593
449,5.1744
450,5.1852
451,5.1808
452,5.1587
453,5.1278
454,5.1023
455,5.0917
456,5.0958
457,5.108
458,5.1217
459,5.1326
460,5.1371
461,5.1327
462,5.1192
463,5.1018
464,5.0893
465,5.0888
466,5.1005
467,5.1167
468,5.1285
469,5.1322
470,5.1318
471,5.1344
472,5.1439
473,5.1585
474,5.1731
475,5.1844
476,5.1928
477,5.1996
478,5.2027
479,5.1978
480,5.1846
481,5.1701
482,5.1649
483,5.1745
484,5.1956
485,5.2179
486,5.2289
487,5.2208
488,5.1947
489,5.1615
490,5.1361
491,5.1297
492,5.1439
493,5.1687
494,5.1878
495,5.1895
496,5.175
497,5.1557
498,5.1414
499,5.1325
500,5.1231
501,5.1119
502,5.106
503,5.1154
504,5.1411
505,5.1712
506,5.1892
507,5.1869
508,5.1699
509,5.1511
510,5.1405
511,5.1394
512,5.1436
513,5.1497
514,5.1585
515,5.172
516,5.189
517,5.2041
518,5.2107
519,5.2055
520,5.1906
521,5.1726
522,5.1593
523,5.1553
524,5.1591
525,5.1634
526,5.161
527,5.1502
528,5.1367
529,5.1283
530,5.1279
531,5.132
532,5.1354
533,5.1364
534,5.1369
535,5.1389
536,5.1419
537,5.1426
538,5.1382
539,5.1307
540,5.1263
541,5.13
542,5.1404
543,5.151
544,5.1572
545,5.1594
546,5.161
547,5.1634
548,5.1649
549,5.1624
550,5.1558
551,5.1485
552,5.1445
553,5.1446
554,5.1456
555,5.145
556,5.1441
557,5.1472
558,5.1587
559,5.1798
560,5.207
561,5.2329
562,5.2488
563,5.2487
564,5.2325
565,5.2064
566,5.1793
567,5.1588
568,5.1469
569,5.1408
570,5.1368
571,5.134
572,5.1337
573,5.1372
574,5.1437
575,5.1499
576,5.1527
577,5.1511
578,5.1461
579,5.1401
580,5.136
581,5.1376
582,5.1481
583,5.1669
584,5.1862
585,5.1955
586,5.1903
587,5.1761
588,5.1624
589,5.1559
590,5.1593
591,5.1721
592,5.1893
593,5.2011
594,5.1974
595,5.1762
596,5.1484
597,5.1308
598,5.1333
599,5.1515
600,5.1716
601,5.1832
602,5.1862
603,5.1864
604,5.1864
605,5.1826
606,5.171
607,5.1529
608,5.134
609,5.1196
610,5.111
611,5.1074
612,5.1076
613,5.1095
614,5.1106
615,5.1092
616,5.1063
617,5.1053
618,5.1097
619,5.1197
620,5.1307
621,5.1349
622,5.1269
623,5.1076
624,5.0848
625,5.0687
626,5.0658
627,5.073
628,5.0781
629,5.07
630,5.0485
631,5.0246
632,5.0117
633,5.0147
634,5.0281
635,5.0422
636,5.0514
637,5.0582
638,5.0686
639,5.0864
640,5.1087
641,5.1281
642,5.1373
643,5.1339
644,5.1209
645,5.1051
646,5.0932
647,5.089
648,5.0918
649,5.0982
650,5.1042
651,5.1069
652,5.1056
653,5.101
654,5.0942
655,5.0875
656,5.0857
657,5.0936
658,5.1109
659,5.129
660,5.1349
661,5.1211
662,5.0915
663,5.0579
664,5.0316
665,5.0174
666,5.0129
667,5.0122
668,5.0121
669,5.0143
670,5.0213
671,5.0311
672,5.0382
673,5.0406
674,5.0421
675,5.0473
676,5.0551
677,5.0602
678,5.0602
679,5.0589
680,5.0621
681,5.0713
682,5.0831
683,5.0925
684,5.0962
685,5.0941
686,5.0893
687,5.0872
688,5.0926
689,5.1046
690,5.1149
691,5.1143
692,5.1017
693,5.0866
694,5.0804
695,5.0869
696,5.0995
697,5.1077
698,5.1044
699,5.0899
700,5.0723
701,5.0621
702,5.0646
703,5.0763
704,5.0887
705,5.0944
706,5.0916
707,5.0832
708,5.0734
709,5.0663
710,5.0656
711,5.0719
712,5.0808
713,5.0842
714,5.077
715,5.0613
716,5.0437
717,5.0305
718,5.0249
719,5.0271
720,5.0352
721,5.0458
722,5.0554
723,5.062
724,5.0662
725,5.0709
726,5.0781
727,5.0865
728,5.0916
729,5.089
730,5.0772
731,5.0594
732,5.0427
733,5.033
734,5.0312
735,5.0338
736,5.0383
737,5.0453
738,5.0551
739,5.0649
740,5.0716
741,5.0761
742,5.0824
743,5.0925
744,5.1042
745,5.1131
746,5.116
747,5.1132
748,5.1101
749,5.1135
750,5.1239
751,5.1321
752,5.1281
753,5.1129
754,5.0985
755,5.0958
756,5.1045
757,5.1157
758,5.1225
759,5.1249
760,5.126
761,5.1273
762,5.1268
763,5.1229
764,5.1167
765,5.1116
766,5.1097
767,5.1092
768,5.1068
769,5.1016
770,5.0967
771,5.0945
772,5.0943
773,5.0935
774,5.0906
775,5.0854
776,5.0773
777,5.0654
778,5.0514
779,5.0402
780,5.0367
781,5.0417
782,5.052
783,5.064
784,5.078
785,5.0975
786,5.1237
787,5.1515
788,5.1726
789,5.1807
790,5.1752
791,5.1603
792,5.1414
793,5.1227
794,5.1055
795,5.0888
796,5.0717
797,5.0564
798,5.0472
799,5.0479
800,5.0581
801,5.0731
802,5.0859
803,5.0909
804,5.0855
805,5.0718
806,5.0538
807,5.0366
808,5.0252
809,5.0242
810,5.0338
811,5.0474
812,5.0559
813,5.0551
814,5.0493
815,5.0456
816,5.0471
817,5.0518
818,5.0557
819,5.0576
820,5.0601
821,5.0666
822,5.0783
823,5.0925
824,5.1035
825,5.1056
826,5.0969
827,5.0821
828,5.069
829,5.063
830,5.064
831,5.0692
832,5.0766
833,5.0863
834,5.0963
835,5.102
836,5.0996
837,5.0918
838,5.0862
839,5.0876
840,5.0927
841,5.0943
842,5.0894
843,5.0817
844,5.0769
845,5.0764
846,5.0762
847,5.0712
848,5.0604
849,5.0493
850,5.0446
851,5.0481
852,5.0553
853,5.0603
854,5.0618
855,5.0626
856,5.065
857,5.0691
858,5.0745
859,5.0809
860,5.0877
861,5.0928
862,5.094
863,5.0902
864,5.0834
865,5.0786
866,5.0808
867,5.0904
868,5.1006
869,5.1022
870,5.091
871,5.0734
872,5.0612
873,5.0617
874,5.0703
875,5.0772
876,5.0787
877,5.0806
878,5.0886
879,5.0994
880,5.1031
881,5.0957
882,5.0831
883,5.0747
884,5.0733
885,5.0737
886,5.0701
887,5.0622
888,5.0545
889,5.0506
890,5.0503
891,5.0514
892,5.0524
893,5.0525
894,5.0526
895,5.0542
896,5.0576
897,5.0616
898,5.0647
899,5.0663
900,5.0667
901,5.0658
902,5.0639
903,5.0617
904,5.0596
905,5.0572
906,5.0536
907,5.0485
908,5.0428
909,5.0383
910,5.0374
911,5.0397
912,5.0407
913,5.0354
914,5.0233
915,5.0099
916,5.0011
917,4.9984
918,5.0011
919,5.0072
920,5.016
921,5.0271
922,5.0397
923,5.0522
924,5.0625
925,5.0691
926,5.0715
927,5.0701
928,5.0669
929,5.0641
930,5.0634
931,5.0642
932,5.0627
933,5.0552
934,5.0415
935,5.0262
936,5.0155
937,5.0124
938,5.0145
939,5.016
940,5.0114
941,4.9984
942,4.9785
943,4.9574
944,4.9424
945,4.9389
946,4.9452
947,4.9538
948,4.9579
949,4.958
950,4.9607
951,4.9711
952,4.988
953,5.006
954,5.0221
955,5.0364
956,5.0484
957,5.0556
958,5.0558
959,5.0498
960,5.0409
961,5.0333
962,5.0316
963,5.0397
964,5.0583
965,5.0824
966,5.1029
967,5.113
968,5.1122
969,5.1057
970,5.0985
971,5.0912
972,5.0805
973,5.0655
974,5.0514
975,5.0467
976,5.0539
977,5.0661
978,5.0733
979,5.0725
980,5.0691
981,5.0709
982,5.0791
983,5.0881
984,5.0907
985,5.0836
986,5.0691
987,5.053
988,5.0422
989,5.0411
990,5.0489
991,5.0584
992,5.0617
993,5.0566
994,5.0488
995,5.0455
996,5.0496
997,5.0558
998,5.0543
999,5.0387
1000,5.0122
1001,4.9869
1002,4.9755
1003,4.9812
1004,4.995
1005,5.0045
1006,5.0031
1007,4.9928
1008,4.9778
1009,4.9601
1010,4.9412
1011,4.9253
1012,4.9175
1013,4.9189
1014,4.9249
1015,4.9298
1016,4.9317
1017,4.9325
1018,4.9356
1019,4.9439
1020,4.9578
1021,4.9741
1022,4.988
1023,4.9962
1024,4.9984
1025,4.997
1026,4.9956
1027,4.9987
1028,5.009
1029,5.025
1030,5.041
1031,5.0514
1032,5.055
1033,5.0545
1034,5.0513
1035,5.0445
1036,5.0344
1037,5.025
1038,5.0213
1039,5.0251
1040,5.0338
1041,5.0428
1042,5.0474
1043,5.0443
1044,5.0341
1045,5.0218
1046,5.014
1047,5.0138
1048,5.0195
1049,5.0269
1050,5.0323
1051,5.0337
1052,5.0305
1053,5.0238
1054,5.0149
1055,5.004
1056,4.9886
1057,4.9684
1058,4.9495
1059,4.9421
1060,4.9516
1061,4.9713
1062,4.9865
1063,4.9871
1064,4.9768
1065,4.9683
1066,4.9697
1067,4.9773
1068,4.9801
1069,4.9718
1070,4.9575
1071,4.9478
1072,4.9486
1073,4.9547
1074,4.9553
1075,4.9449
1076,4.9293
1077,4.9205
1078,4.9253
1079,4.9397
1080,4.9537
1081,4.9617
1082,4.966
1083,4.972
1084,4.9808
1085,4.9889
1086,4.9939
1087,4.9987
1088,5.0099
1089,5.0306
1090,5.0568
1091,5.0784
1092,5.0855
1093,5.0749
1094,5.054
1095,5.0358
1096,5.0287
1097,5.0287
1098,5.0231
1099,5.0031
1100,4.9731
1101,4.9475
1102,4.9388
1103,4.9477
1104,4.9636
1105,4.974
1106,4.9738
1107,4.9672
1108,4.9614
1109,4.9604
1110,4.9643
1111,4.9716
1112,4.9801
1113,4.9865
1114,4.9889
1115,4.9884
1116,4.987
1117,4.9824
1118,4.9676
1119,4.94
1120,4.9077
1121,4.8859
1122,4.8851
1123,4.903
1124,4.9277
1125,4.9478
1126,4.9589
1127,4.9629
1128,4.9637
1129,4.964
