second,kW
0,4.0
1,4.0002
2,4.0009
3,4.0028
4,4.0074
5,4.0148
6,4.0215
7,4.0233
8,4.0198
9,4.015
10,4.0127
11,4.0122
12,4.0113
13,4.0106
14,4.0126
15,4.0173
16,4.0209
17,4.0202
18,4.0158
19,4.0129
20,4.0165
21,4.0267
22,4.0381
23,4.0444
24,4.0443
25,4.0431
26,4.0466
27,4.0549
28,4.0625
29,4.064
30,4.0575
31,4.0444
32,4.0284
33,4.0146
34,4.008
35,4.0102
36,4.0184
37,4.028
38,4.0362
39,4.0421
40,4.0464
41,4.05
42,4.0541
43,4.0588
44,4.0626
45,4.0633
46,4.06
47,4.053
48,4.0438
49,4.0351
50,4.0296
51,4.0277
52,4.0272
53,4.0251
54,4.0212
55,4.0164
56,4.0104
57,4.0015
58,3.9902
59,3.9795
60,3.9719
61,3.9672
62,3.9636
63,3.9619
64,3.9654
65,3.9759
66,3.9891
67,3.9961
68,3.9905
69,3.9749
70,3.9597
71,3.956
72,3.9671
73,3.9854
74,3.9978
75,3.9948
76,3.9776
77,3.9564
78,3.9421
79,3.9386
80,3.9424
81,3.9478
82,3.9521
83,3.9553
84,3.9572
85,3.9559
86,3.9507
87,3.9446
88,3.9418
89,3.9432
90,3.945
91,3.943
92,3.9374
93,3.9329
94,3.9334
95,3.9389
96,3.9462
97,3.9528
98,3.9579
99,3.9616
100,3.9639
101,3.9648
102,3.9649
103,3.965
104,3.9651
105,3.9642
106,3.9615
107,3.9566
108,3.9499
109,3.9423
110,3.9356
111,3.9317
112,3.9321
113,3.936
114,3.9418
115,3.9482
116,3.9551
117,3.9639
118,3.9756
119,3.989
120,4.0018
121,4.0123
122,4.0201
123,4.025
124,4.0272
125,4.0279
126,4.0291
127,4.0318
128,4.0346
129,4.0362
130,4.0362
131,4.0342
132,4.0279
133,4.0155
134,3.9989
135,3.9835
136,3.974
137,3.9702
138,3.9689
139,3.9682
140,3.968
141,3.9684
142,3.9684
143,3.9669
144,3.9648
145,3.9624
146,3.9588
147,3.9535
148,3.9479
149,3.9454
150,3.9474
151,3.9521
152,3.955
153,3.953
154,3.946
155,3.9362
156,3.9276
157,3.9243
158,3.9298
159,3.9427
160,3.9573
161,3.967
162,3.9688
163,3.9654
164,3.9633
165,3.9684
166,3.9819
167,3.9985
168,4.0088
169,4.0064
170,3.9929
171,3.9762
172,3.9636
173,3.9572
174,3.9554
175,3.9557
176,3.9564
177,3.9563
178,3.9553
179,3.9567
180,3.9662
181,3.9868
182,4.0132
183,4.033
184,4.035
185,4.0178
186,3.9899
187,3.9636
188,3.9479
189,3.9439
190,3.9461
191,3.9462
192,3.9396
193,3.9285
194,3.9192
195,3.9163
196,3.9201
197,3.9272
198,3.9337
199,3.9369
200,3.9375
201,3.9382
202,3.9409
203,3.943
204,3.9403
205,3.9317
206,3.921
207,3.9135
208,3.9117
209,3.9144
210,3.918
211,3.9202
212,3.9215
213,3.9237
214,3.9271
215,3.929
216,3.9263
217,3.9191
218,3.9093
219,3.899
220,3.8898
221,3.8833
222,3.8799
223,3.8775
224,3.8732
225,3.8655
226,3.8561
227,3.8481
228,3.8456
229,3.8517
230,3.8666
231,3.886
232,3.9032
233,3.9133
234,3.9164
235,3.9157
236,3.9135
237,3.9084
238,3.8974
239,3.8821
240,3.8697
241,3.8681
242,3.8788
243,3.8942
244,3.9031
245,3.8995
246,3.887
247,3.875
248,3.8705
249,3.8737
250,3.8806
251,3.8882
252,3.8967
253,3.9068
254,3.9175
255,3.9265
256,3.932
257,3.9352
258,3.9388
259,3.944
260,3.9488
261,3.9507
262,3.9494
263,3.947
264,3.9459
265,3.9478
266,3.9524
267,3.9581
268,3.9617
269,3.9592
270,3.95
271,3.9398
272,3.9378
273,3.9467
274,3.9588
275,3.9624
276,3.9533
277,3.9374
278,3.924
279,3.9168
280,3.9136
281,3.9117
282,3.9109
283,3.9128
284,3.9185
285,3.9287
286,3.9434
287,3.9607
288,3.976
289,3.9839
290,3.9824
291,3.9737
292,3.9627
293,3.9536
294,3.948
295,3.9463
296,3.9496
297,3.9589
298,3.9729
299,3.9859
300,3.9905
301,3.9823
302,3.9641
303,3.9454
304,3.9355
305,3.9374
306,3.9454
307,3.9505
308,3.9481
309,3.9406
310,3.9339
311,3.9311
312,3.9306
313,3.9294
314,3.9281
315,3.9312
316,3.9421
317,3.9579
318,3.9715
319,3.9791
320,3.9841
321,3.9913
322,3.9996
323,4.0025
324,3.9956
325,3.9815
326,3.9676
327,3.9591
328,3.9562
329,3.9554
330,3.9538
331,3.9516
332,3.9513
333,3.9545
334,3.9602
335,3.9661
336,3.9703
337,3.972
338,3.9715
339,3.9698
340,3.9688
341,3.9697
342,3.9719
343,3.9734
344,3.9728
345,3.9706
346,3.9689
347,3.9704
348,3.9762
349,3.9839
350,3.9869
351,3.9794
352,3.9617
353,3.942
354,3.9307
355,3.9332
356,3.9455
357,3.9577
358,3.9622
359,3.9595
360,3.9546
361,3.9518
362,3.9512
363,3.952
364,3.9543
365,3.9582
366,3.9621
367,3.9638
368,3.9623
369,3.9581
370,3.953
371,3.949
372,3.9472
373,3.9463
374,3.943
375,3.9364
376,3.9308
377,3.9319
378,3.9399
379,3.9486
380,3.9522
381,3.9522
382,3.956
383,3.9681
384,3.9851
385,3.9994
386,4.0067
387,4.0089
388,4.0106
389,4.013
390,4.0131
391,4.0084
392,4.0024
393,4.0021
394,4.0088
395,4.016
396,4.016
397,4.0083
398,3.9981
399,3.9895
400,3.982
401,3.9746
402,3.9693
403,3.9694
404,3.9757
405,3.9844
406,3.9894
407,3.9867
408,3.9771
409,3.9651
410,3.9549
411,3.9474
412,3.9402
413,3.9322
414,3.9266
415,3.9282
416,3.9372
417,3.9469
418,3.9494
419,3.9416
420,3.9266
421,3.9098
422,3.8966
423,3.8913
424,3.8958
425,3.909
426,3.9249
427,3.9353
428,3.9352
429,3.928
430,3.9232
431,3.9281
432,3.9407
433,3.9518
434,3.9533
435,3.9466
436,3.941
437,3.9438
438,3.9526
439,3.9572
440,3.9501
441,3.9345
442,3.9203
443,3.9153
444,3.9192
445,3.9258
446,3.9289
447,3.9276
448,3.9257
449,3.9279
450,3.9347
451,3.9412
452,3.9416
453,3.9352
454,3.9278
455,3.9258
456,3.9295
457,3.9345
458,3.938
459,3.9427
460,3.9522
461,3.9636
462,3.9679
463,3.9574
464,3.9341
465,3.9091
466,3.8954
