second,kW
0,3.92
1,3.9201
2,3.9209
3,3.922
4,3.9236
5,3.9265
6,3.9304
7,3.9338
8,3.935
9,3.9354
10,3.9393
11,3.9499
12,3.9647
13,3.9769
14,3.9821
15,3.9813
16,3.9793
17,3.9779
18,3.9751
19,3.9701
20,3.9666
21,3.9707
22,3.9846
23,4.0021
24,4.0123
25,4.009
26,3.9944
27,3.9766
28,3.9633
29,3.9576
30,3.958
31,3.961
32,3.9632
33,3.9632
34,3.9611
35,3.958
36,3.9532
37,3.945
38,3.9324
39,3.9169
40,3.9024
41,3.8927
42,3.8891
43,3.8901
44,3.8929
45,3.8962
46,3.9013
47,3.9105
48,3.9237
49,3.9371
50,3.9469
51,3.9535
52,3.9592
53,3.9645
54,3.9669
55,3.9639
56,3.9564
57,3.9474
58,3.9406
59,3.9385
60,3.9413
61,3.9468
62,3.9508
63,3.9492
64,3.9404
65,3.9262
66,3.9115
67,3.9017
68,3.9004
69,3.9067
70,3.9162
71,3.9227
72,3.9225
73,3.9159
74,3.9073
75,3.9022
76,3.9044
77,3.9138
78,3.9259
79,3.9333
80,3.9311
81,3.9205
82,3.9084
83,3.9007
84,3.8984
85,3.8992
86,3.9011
87,3.9018
88,3.898
89,3.8884
90,3.8772
91,3.8714
92,3.8738
93,3.8792
94,3.8811
95,3.8788
96,3.877
97,3.8805
98,3.8894
99,3.9001
100,3.9085
101,3.9125
102,3.9122
103,3.9088
104,3.9033
105,3.8964
106,3.8897
107,3.8851
108,3.8839
109,3.8849
110,3.8855
111,3.883
112,3.8767
113,3.8676
114,3.8575
115,3.8481
116,3.8418
117,3.8407
118,3.8442
119,3.8488
120,3.8506
121,3.8488
122,3.8462
123,3.8457
124,3.8473
125,3.8495
126,3.8516
127,3.8541
128,3.8565
129,3.8572
130,3.8544
131,3.8485
132,3.8429
133,3.8424
134,3.8495
135,3.8607
136,3.8689
137,3.8693
138,3.865
139,3.8643
140,3.8721
141,3.8835
142,3.8875
143,3.8779
144,3.8596
145,3.8439
146,3.8386
147,3.8423
148,3.8472
149,3.8463
150,3.84
151,3.8352
152,3.8385
153,3.8495
154,3.862
155,3.8708
156,3.8769
157,3.8852
158,3.897
159,3.9074
160,3.9096
161,3.9002
162,3.8821
163,3.8621
164,3.847
165,3.8403
166,3.8403
167,3.8424
168,3.8427
169,3.8407
170,3.8383
171,3.8376
172,3.8388
173,3.8407
174,3.8415
175,3.8403
176,3.8375
177,3.8358
178,3.8379
179,3.8441
180,3.85
181,3.8504
182,3.8444
183,3.8363
184,3.8303
185,3.8276
186,3.8271
187,3.828
188,3.8293
189,3.8295
190,3.8277
191,3.8243
192,3.8204
193,3.8159
194,3.8102
195,3.8043
196,3.8026
197,3.81
198,3.8257
199,3.8411
200,3.8456
201,3.8363
202,3.8206
203,3.8097
204,3.8088
205,3.8148
206,3.8223
207,3.8294
208,3.8371
209,3.8448
210,3.8485
211,3.8442
212,3.8319
213,3.8157
214,3.8021
215,3.796
216,3.7984
217,3.8051
218,3.8092
219,3.8049
220,3.7926
221,3.7785
222,3.77
223,3.7698
224,3.775
225,3.7802
226,3.7821
227,3.7812
228,3.7802
229,3.7804
230,3.7807
231,3.7791
232,3.775
233,3.7703
234,3.7672
235,3.7659
236,3.765
237,3.764
238,3.7639
239,3.7656
240,3.7683
241,3.7701
242,3.7704
243,3.7704
244,3.7723
245,3.776
246,3.7797
247,3.7825
248,3.7855
249,3.7881
250,3.7871
251,3.7805
252,3.7719
253,3.7682
254,3.7707
255,3.773
256,3.7676
257,3.7553
258,3.7448
259,3.7438
260,3.7515
261,3.76
262,3.7622
263,3.7588
264,3.7558
265,3.7577
266,3.7637
267,3.77
268,3.7741
269,3.7758
270,3.7747
271,3.7703
272,3.7641
273,3.7599
274,3.7615
275,3.7685
276,3.7758
277,3.7782
278,3.7753
279,3.7712
280,3.7702
281,3.7734
282,3.7794
283,3.7859
284,3.7911
285,3.7925
286,3.7885
287,3.7798
288,3.7685
289,3.757
290,3.748
291,3.7445
292,3.7484
293,3.7581
294,3.7686
295,3.7749
296,3.7745
297,3.7686
298,3.7613
299,3.7572
300,3.7581
301,3.7608
302,3.7593
303,3.7506
304,3.7379
305,3.727
306,3.7207
307,3.7188
308,3.721
309,3.7281
310,3.7396
311,3.751
312,3.7567
313,3.7554
314,3.7517
315,3.752
316,3.7593
317,3.7714
318,3.7835
319,3.7911
320,3.7918
321,3.785
322,3.7729
323,3.7588
324,3.745
325,3.7323
326,3.7203
327,3.7097
328,3.7032
329,3.7025
330,3.7061
331,3.7092
332,3.7084
333,3.7052
334,3.7046
335,3.7097
336,3.7183
337,3.7245
338,3.725
339,3.7221
340,3.7217
341,3.7269
342,3.7358
343,3.7438
344,3.7473
345,3.7456
346,3.7398
347,3.7321
348,3.7259
349,3.7234
350,3.7238
351,3.7239
352,3.7224
353,3.7225
354,3.7279
355,3.7386
356,3.7503
357,3.7602
358,3.7686
359,3.7768
360,3.784
361,3.7877
362,3.7863
363,3.7797
364,3.7687
365,3.7547
366,3.7407
367,3.7324
368,3.7354
369,3.7507
370,3.7727
371,3.7916
372,3.7995
373,3.7953
374,3.7846
375,3.7749
376,3.77
377,3.7688
378,3.768
379,3.7658
380,3.7629
381,3.7614
382,3.7626
383,3.765
384,3.7662
385,3.7653
386,3.7641
387,3.7666
388,3.7748
389,3.7872
390,3.8003
391,3.8105
392,3.8157
393,3.8147
394,3.8067
395,3.7915
396,3.7724
397,3.7565
398,3.7518
399,3.7598
400,3.7729
401,3.7799
402,3.7756
403,3.7651
404,3.7579
405,3.7585
406,3.763
407,3.7646
408,3.7619
409,3.7594
410,3.7612
411,3.7656
412,3.7674
413,3.7641
414,3.7586
415,3.7552
416,3.7556
417,3.7591
418,3.7636
419,3.7661
420,3.7641
421,3.7561
422,3.7435
423,3.7308
424,3.7228
425,3.7221
426,3.7271
427,3.7332
428,3.7356
429,3.7333
430,3.7283
431,3.7226
432,3.7175
433,3.7139
434,3.7123
435,3.7116
436,3.7098
437,3.7069
438,3.7055
439,3.7082
440,3.7136
441,3.717
442,3.7149
443,3.7097
444,3.7077
445,3.7123
446,3.7207
447,3.7276
448,3.7306
449,3.7317
450,3.734
451,3.7388
452,3.7454
453,3.7525
454,3.7592
455,3.7648
456,3.7683
457,3.7692
458,3.767
459,3.7612
460,3.7516
461,3.7393
462,3.7276
463,3.7204
464,3.7195
465,3.7228
466,3.7255
467,3.7232
468,3.7147
469,3.7025
470,3.6909
471,3.6836
472,3.6819
473,3.6843
474,3.6881
475,3.6903
476,3.689
477,3.6844
478,3.6792
479,3.6769
480,3.6795
481,3.6855
482,3.6909
483,3.6928
484,3.6917
485,3.6917
486,3.6966
487,3.706
488,3.7153
489,3.7195
490,3.7182
491,3.7147
492,3.712
493,3.7093
494,3.7036
495,3.6953
496,3.689
497,3.6891
498,3.6955
499,3.7053
500,3.7154
501,3.7232
502,3.7245
503,3.7158
504,3.6992
505,3.6822
506,3.6717
507,3.6683
508,3.6675
509,3.6659
510,3.6634
511,3.6615
512,3.6604
513,3.66
514,3.6609
515,3.6648
516,3.6706
517,3.6755
518,3.6779
519,3.6784
520,3.6786
521,3.6785
522,3.6778
523,3.6769
524,3.6766
525,3.6776
526,3.6795
527,3.6813
528,3.6815
529,3.6782
530,3.6705
531,3.6604
532,3.6525
533,3.6503
534,3.6538
535,3.6598
536,3.6649
537,3.6676
538,3.6679
539,3.6654
540,3.66
541,3.6528
542,3.647
543,3.6454
544,3.6488
545,3.6559
546,3.6653
547,3.6757
548,3.685
549,3.6892
550,3.6855
