second,kW
0,3.59
1,3.59
2,3.59
3,3.5911
4,3.5929
5,3.5933
6,3.5902
7,3.5852
8,3.5829
9,3.5859
10,3.59
11,3.588
12,3.5763
13,3.5588
14,3.5433
15,3.535
16,3.5324
17,3.5306
18,3.5265
19,3.5214
20,3.5198
21,3.5251
22,3.5357
23,3.5456
24,3.5489
25,3.5444
26,3.5357
27,3.5277
28,3.5229
29,3.5205
30,3.5185
31,3.5171
32,3.5171
33,3.5186
34,3.5198
35,3.5196
36,3.5188
37,3.5196
38,3.5232
39,3.529
40,3.5348
41,3.5386
42,3.5397
43,3.5389
44,3.5379
45,3.5382
46,3.5392
47,3.5387
48,3.535
49,3.529
50,3.525
51,3.527
52,3.5338
53,3.5393
54,3.5378
55,3.5292
56,3.5188
57,3.5126
58,3.5128
59,3.516
60,3.5168
61,3.5127
62,3.5054
63,3.4989
64,3.4958
65,3.4958
66,3.4976
67,3.4996
68,3.5006
69,3.5004
70,3.4988
71,3.4966
72,3.4954
73,3.4975
74,3.5044
75,3.5152
76,3.5265
77,3.5358
78,3.5429
79,3.5474
80,3.5476
81,3.5404
82,3.5261
83,3.5093
84,3.497
85,3.493
86,3.4957
87,3.4997
88,3.5004
89,3.4974
90,3.4944
91,3.4949
92,3.4986
93,3.5014
94,3.4998
95,3.4946
96,3.491
97,3.4932
98,3.5018
99,3.5131
100,3.5227
101,3.5282
102,3.5295
103,3.5288
104,3.5286
105,3.5297
106,3.5298
107,3.5266
108,3.521
109,3.5169
110,3.5165
111,3.5175
112,3.516
113,3.5123
114,3.5127
115,3.523
116,3.5427
117,3.5638
118,3.5768
119,3.576
120,3.5633
121,3.546
122,3.5327
123,3.5277
124,3.5303
125,3.5377
126,3.5474
127,3.5576
128,3.5663
129,3.5706
130,3.5686
131,3.5609
132,3.5516
133,3.5462
134,3.5479
135,3.5545
136,3.561
137,3.5636
138,3.5629
139,3.5632
140,3.568
141,3.5758
142,3.5816
143,3.581
144,3.5743
145,3.5657
146,3.5592
147,3.5556
148,3.5528
149,3.5498
150,3.5482
151,3.549
152,3.5507
153,3.5503
154,3.5468
155,3.5414
156,3.537
157,3.5367
158,3.5421
159,3.5527
160,3.5657
161,3.5765
162,3.5807
163,3.5771
164,3.5684
165,3.5596
166,3.5546
167,3.5554
168,3.5618
169,3.5715
170,3.5806
171,3.5847
172,3.5823
173,3.575
174,3.5658
175,3.557
176,3.5509
177,3.5497
178,3.5536
179,3.5613
180,3.5706
181,3.5796
182,3.5857
183,3.5863
184,3.5804
185,3.5699
186,3.5588
187,3.552
188,3.5527
189,3.5598
190,3.5687
191,3.5749
192,3.5777
193,3.5785
194,3.5781
195,3.5767
196,3.5748
197,3.5732
198,3.5707
199,3.5651
200,3.5572
201,3.5512
202,3.5499
203,3.5508
204,3.5484
205,3.5409
206,3.534
207,3.5351
208,3.5466
209,3.5637
210,3.5784
211,3.586
212,3.5873
213,3.5875
214,3.5902
215,3.5948
216,3.5972
217,3.5942
218,3.5875
219,3.5819
220,3.5807
221,3.5831
222,3.5861
223,3.5884
224,3.5911
225,3.596
226,3.602
227,3.6054
228,3.6029
229,3.5958
230,3.5894
231,3.5892
232,3.5953
233,3.6018
234,3.6021
235,3.5949
236,3.5843
237,3.5747
238,3.567
239,3.5604
240,3.5552
241,3.5539
242,3.5575
243,3.5643
244,3.571
245,3.5758
246,3.5792
247,3.5825
248,3.5863
249,3.5897
250,3.5913
251,3.5905
252,3.5886
253,3.5892
254,3.5957
255,3.6077
256,3.6196
257,3.6255
258,3.6246
259,3.6222
260,3.6239
261,3.6287
262,3.6306
263,3.6247
264,3.614
265,3.6069
266,3.6097
267,3.6208
268,3.6319
269,3.6348
270,3.6273
271,3.6145
272,3.6047
273,3.604
274,3.6117
275,3.6216
276,3.6272
277,3.6269
278,3.6244
279,3.6237
280,3.6245
281,3.6242
282,3.6214
283,3.6179
284,3.6158
285,3.6145
286,3.6107
287,3.6021
288,3.5912
289,3.5845
290,3.5873
291,3.5977
292,3.6089
293,3.6147
294,3.613
295,3.6054
296,3.5949
297,3.5855
298,3.581
299,3.5833
300,3.5919
301,3.6036
302,3.613
303,3.6149
304,3.6069
305,3.5929
306,3.5813
307,3.579
308,3.585
309,3.5928
310,3.5977
311,3.6009
312,3.6059
313,3.6132
314,3.6199
315,3.6227
316,3.6216
317,3.6197
318,3.6202
319,3.6239
320,3.6277
321,3.6275
322,3.6208
323,3.6084
324,3.5937
325,3.5822
326,3.5786
327,3.5844
328,3.5962
329,3.6071
330,3.611
331,3.605
332,3.5906
333,3.5724
334,3.556
335,3.5458
336,3.5427
337,3.5435
338,3.5436
339,3.5405
340,3.5369
341,3.5387
342,3.5501
343,3.569
344,3.5869
345,3.5956
346,3.5929
347,3.5841
348,3.5775
349,3.579
350,3.5892
351,3.6041
352,3.6177
353,3.6249
354,3.6247
355,3.6202
356,3.6171
357,3.6189
358,3.6245
359,3.6285
360,3.6263
361,3.6191
362,3.6115
363,3.6063
364,3.6009
365,3.5914
366,3.5788
367,3.5691
368,3.5664
369,3.5689
370,3.5726
371,3.5765
372,3.5827
373,3.5902
374,3.5946
375,3.592
376,3.584
377,3.5758
378,3.5718
379,3.5723
380,3.5744
381,3.5748
382,3.5716
383,3.5652
384,3.5576
385,3.5513
386,3.5478
387,3.5466
388,3.547
389,3.549
390,3.5526
391,3.5567
392,3.5598
393,3.5612
394,3.5614
395,3.5609
396,3.5591
397,3.5553
398,3.55
399,3.5471
400,3.5522
401,3.5669
402,3.585
403,3.5958
404,3.5933
405,3.5819
406,3.5718
407,3.5685
408,3.569
409,3.5666
410,3.5596
411,3.5536
412,3.5557
413,3.5679
414,3.5859
415,3.6027
416,3.6128
417,3.615
418,3.6121
419,3.6084
420,3.6057
421,3.603
422,3.5985
423,3.5924
424,3.5873
425,3.5861
426,3.5903
427,3.5981
428,3.6049
429,3.6049
430,3.5961
431,3.5838
432,3.5759
433,3.5753
434,3.5777
435,3.5765
436,3.5703
437,3.5635
438,3.5613
439,3.5647
440,3.5694
441,3.5694
442,3.5639
443,3.5598
444,3.5653
445,3.5819
446,3.6033
447,3.6221
448,3.6347
449,3.641
450,3.6395
451,3.6289
452,3.6118
453,3.5958
454,3.5878
455,3.589
456,3.5954
457,3.6017
458,3.6049
459,3.6057
460,3.6067
461,3.6085
462,3.6084
463,3.6026
464,3.5912
465,3.5801
466,3.577
467,3.5855
468,3.6011
