second,kW
0,1.44
1,1.4402
2,1.4408
3,1.4416
4,1.4429
5,1.4452
6,1.4487
7,1.4526
8,1.4557
9,1.4574
10,1.4584
11,1.4599
12,1.4622
13,1.4636
14,1.4623
15,1.4581
16,1.4531
17,1.4491
18,1.447
19,1.4467
20,1.4483
21,1.4514
22,1.4544
23,1.4553
24,1.4533
25,1.4494
26,1.4459
27,1.4444
28,1.4449
29,1.4458
30,1.4455
31,1.4439
32,1.4425
33,1.4429
34,1.4453
35,1.4489
36,1.4534
37,1.4583
38,1.4628
39,1.4658
40,1.4667
41,1.4662
42,1.4655
43,1.4653
44,1.4656
45,1.4658
46,1.4657
47,1.4655
48,1.4654
49,1.4651
50,1.4645
51,1.4645
52,1.4657
53,1.468
54,1.47
55,1.47
56,1.4672
57,1.4621
58,1.4564
59,1.4523
60,1.451
61,1.4522
62,1.4545
63,1.4561
64,1.4556
65,1.4528
66,1.4493
67,1.4471
68,1.4468
69,1.4468
70,1.4454
71,1.4423
72,1.4397
73,1.4399
74,1.4439
75,1.4504
76,1.4569
77,1.4613
78,1.4621
79,1.4596
80,1.4554
81,1.4514
82,1.4485
83,1.4468
84,1.4459
85,1.4446
86,1.4422
87,1.4396
88,1.4399
89,1.4453
90,1.4549
91,1.464
92,1.468
93,1.4659
94,1.4617
95,1.4603
96,1.4636
97,1.4685
98,1.4701
99,1.4653
100,1.4559
101,1.447
102,1.4428
103,1.4443
104,1.4486
105,1.4526
106,1.4554
107,1.4577
108,1.4602
109,1.4624
110,1.4634
111,1.463
112,1.4609
113,1.4567
114,1.4511
115,1.4468
116,1.4467
117,1.4517
118,1.4582
119,1.4615
120,1.4595
121,1.4546
122,1.4512
123,1.4518
124,1.4556
125,1.4596
126,1.4615
127,1.4606
128,1.4584
129,1.4563
130,1.455
131,1.454
132,1.4534
133,1.4535
134,1.455
135,1.4574
136,1.4599
137,1.4617
138,1.4624
139,1.4625
140,1.4625
141,1.4629
142,1.4641
143,1.4653
144,1.4648
145,1.4615
146,1.4565
147,1.4524
148,1.4519
149,1.4553
150,1.4598
151,1.4619
152,1.46
153,1.4554
154,1.4514
155,1.4495
156,1.4492
157,1.4485
158,1.4465
159,1.4442
160,1.4427
161,1.4427
162,1.4442
163,1.4463
164,1.4484
165,1.4496
166,1.4493
167,1.4481
168,1.4475
169,1.4487
170,1.4512
171,1.4528
172,1.4523
173,1.4503
174,1.4495
175,1.4518
176,1.4564
177,1.4601
178,1.4601
179,1.4564
180,1.4516
181,1.4485
182,1.4481
183,1.4486
184,1.4482
185,1.4467
186,1.4454
187,1.4451
188,1.4455
189,1.4451
190,1.4432
191,1.4404
192,1.4387
193,1.4403
194,1.4451
195,1.4508
196,1.4541
197,1.4535
198,1.4503
199,1.4473
200,1.4465
201,1.4476
202,1.4491
203,1.4498
204,1.4503
205,1.4514
206,1.4524
207,1.4517
208,1.449
209,1.4458
210,1.4441
211,1.4446
212,1.4456
213,1.4455
214,1.4436
215,1.4409
216,1.4392
217,1.4399
218,1.4426
219,1.4452
220,1.4461
221,1.4456
222,1.4454
223,1.4466
224,1.4484
225,1.4484
226,1.4455
227,1.441
228,1.4378
229,1.4373
230,1.4388
231,1.4404
232,1.4414
233,1.4428
234,1.4456
235,1.4499
236,1.4545
237,1.4579
238,1.4589
239,1.4571
240,1.453
241,1.448
242,1.4437
243,1.4413
244,1.4415
245,1.4436
246,1.4464
247,1.4485
248,1.4492
249,1.4489
250,1.4489
251,1.4501
252,1.4532
253,1.458
254,1.464
255,1.4694
256,1.4724
257,1.4727
258,1.4713
259,1.4698
260,1.4683
261,1.4664
262,1.4636
263,1.4604
264,1.4576
265,1.4559
266,1.4547
267,1.453
268,1.4498
269,1.4462
270,1.4442
271,1.4453
272,1.4485
273,1.4517
274,1.4532
275,1.4532
276,1.4532
277,1.4546
278,1.4572
279,1.4593
280,1.4588
281,1.4557
282,1.4517
283,1.4494
284,1.4497
285,1.4518
286,1.4541
287,1.4554
288,1.4556
289,1.4549
290,1.4537
291,1.4528
292,1.4527
293,1.4539
294,1.4559
295,1.4572
296,1.4563
