step,time,mode,p_pv_kw,p_load_kw,p_ev_kw,batt_state,batt_kw,soc_batt_pct,sc_state,sc_kw,soc_sc_pct,grid_kw,export_kw,net_grid_kw,peak_shave_kw,ev_alert,evening,voltage_violation,transformer_loading_pct,self_sufficiency_pct,bess_charged_kwh_cum,bess_discharged_kwh_cum,ev_energy_kwh_cum,pv_total_kwh_cum,grid_import_kwh_cum,co2_saved_kg_step,co2_saved_kg_cum,v_mainbus_pu,v_panelbus_pu,v_mechworkshopbus_pu,v_hostelfbus_pu,v_guesthousebus_pu,v_auditoriumbus_pu,v_librarybus_pu,v_civildeptbus_pu,v_mechdeptbus_pu,v_elecdeptbus_pu,v_ltdbus_pu,v_hostelcbus_pu,v_hosteldbus_pu,v_gymbus_pu,v_evbus_pu,v_lecturetheatrebus_pu,v_adminbus_pu,v_pumphousebus_pu,v_securitybus_pu,v_uppercanteenbus_pu,v_lowercanteenbus_pu,v_boyshostelbbus_pu,v_hostelblockbus_pu
0,00:00,NORMAL,0.0,73.85,0.0,IDLING,0.0,23.0,DISCHARGING,73.85,15.0,73.85,0.0,73.85,0.0,,,,7.38,0.0,0.0,0.0,0.0,0.0,18.46,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
1,00:15,NORMAL,0.0,71.3,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,71.3,0.0,71.3,0.0,,,,7.13,0.0,0.0,0.0,0.0,0.0,36.29,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
2,00:30,NORMAL,0.0,68.57,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,68.57,0.0,68.57,0.0,,,,6.86,0.0,0.0,0.0,0.0,0.0,53.43,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
3,00:45,NORMAL,0.0,66.33,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,66.33,0.0,66.33,0.0,,,,6.63,0.0,0.0,0.0,0.0,0.0,70.01,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
4,01:00,NORMAL,0.0,66.03,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,66.03,0.0,66.03,0.0,,,,6.6,0.0,0.0,0.0,0.0,0.0,86.52,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
5,01:15,NORMAL,0.0,67.89,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,67.89,0.0,67.89,0.0,,,,6.79,0.0,0.0,0.0,0.0,0.0,103.49,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
6,01:30,NORMAL,0.0,68.18,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,68.18,0.0,68.18,0.0,,,,6.82,0.0,0.0,0.0,0.0,0.0,120.54,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
7,01:45,NORMAL,0.0,67.55,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,67.55,0.0,67.55,0.0,,,,6.75,0.0,0.0,0.0,0.0,0.0,137.42,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
8,02:00,NORMAL,0.0,64.17,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,64.17,0.0,64.17,0.0,,,,6.42,0.0,0.0,0.0,0.0,0.0,153.47,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
9,02:15,NORMAL,0.0,64.17,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,64.17,0.0,64.17,0.0,,,,6.42,0.0,0.0,0.0,0.0,0.0,169.51,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
10,02:30,NORMAL,0.0,63.08,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,63.08,0.0,63.08,0.0,,,,6.31,0.0,0.0,0.0,0.0,0.0,185.28,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
11,02:45,NORMAL,0.0,65.29,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,65.29,0.0,65.29,0.0,,,,6.53,0.0,0.0,0.0,0.0,0.0,201.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
12,03:00,NORMAL,0.0,64.42,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,64.42,0.0,64.42,0.0,,,,6.44,0.0,0.0,0.0,0.0,0.0,217.71,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
13,03:15,NORMAL,0.0,65.48,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,65.48,0.0,65.48,0.0,,,,6.55,0.0,0.0,0.0,0.0,0.0,234.08,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
